"Name of
Distict/Division",July,,,,August,,,
,Without food,,With food,,Without food,,With food,
,Male,Female,Male,Female,Male,Female,Male,Female
Jashore,251,184,235,165,239,173,220,150
Jhenaidah,259,180,245,165,238,160,224,145
Magura,276,-,261,-,333,-,312,-
Narial,281,-,265,-,284,200,270,-
Khulna,267,200,260,190,275,168,260,160
Bagerhat,289,218,271,-,287,185,270,-
Satkhira,234,153,-,-,227,142,-,-
Kushita,273,-,256,-,268,-,258,-
Chuadang,213,-,203,-,204,-,220,-
Meherpur,191,167,180,150,180,150,170,-
Khulna Division,253,184,242,168,254,168,245,151
Rajshahi,234,196,226,182,236,198,230,190
Noagoan,225,192,216,184,228,195,220,185
Natore,226,194,212,182,230,200,216,188
Nawbganj,220,188,219,180,223,192,223,193
Bogura,268,-,260,-,260,-,249,-
Joypurhat,268,233,260,213,265,223,254,212
Pabna,311,243,295,230,308,242,294,227
Sirajganj,262,231,262,-,254,214,252,-
Rajshahi Division,252,211,244,195,251,209,242,199
Rangpur,265,185,252,170,240,160,230,150
Gaibanda,210,175,-,-,210,145,-,-
Kurigarm,215,165,210,155,220,150,210,140
Nilphamari,230,170,215,155,220,152,210,140
Lalmonirhat,235,180,220,165,220,150,212,140
Dinajpur,260,215,245,200,225,185,240,200
Thakurgaon,260,200,250,190,255,210,245,200
Panchagar,245,185,235,175,240,190,230,180
Rangpur Division,240,184,232,173,229,168,225,164
Bangladesh,285,214,271,198,289,214,275,201
