Name of Distict/Division,January,,,,February,,,
,Without food,,With food,,Without food,,With food,
,Male,Female,Male,Female,Male,Female,Male,Female
Jashore,241,200,211,185,240,200,220,185
Jhenaidah,270,203,255,195,281,205,260,195
Magura,268,0,240,0,276,0,245,0
Narial,262,170,242,0,259,185,245,0
Khulna,299,180,280,0,294,233,284,0
Bagerhat,322,200,280,0,327,200,305,0
Satkhira,257,192,300,0,260,195,0,0
Kushita,290,0,0,0,291,0,260,0
Chuadang,215,0,270,0,214,0,200,0
Meherpur,200,0,200,161,200,0,184,160
Khulna Division,262,191,182,180,264,203,245,180
Rajshahi,269,225,242,206,266,219,246,192
Noagoan,243,198,250,194,236,204,230,195
Natore,245,211,239,196,247,210,235,193
Nawbganj,250,283,230,180,232,180,226,170
Bogura,275,219,225,200,300,220,288,200
Joypurhat,278,200,255,180,280,200,260,180
Pabna,310,265,258,255,311,264,290,255
Sirajganj,280,205,293,200,272,221,260,200
Rajshahi Division,269,213,265,201,268,215,254,198
Rangpur,260,170,245,160,255,170,240,160
Gaibanda,250,200,228,194,250,205,230,195
Kurigarm,261,190,230,170,260,195,232,165
Nilphamari,258,159,249,143,258,160,250,
Lalmonirhat,247,163,223,151,245,165,225,152
Dinajpur,291,225,275,200,290,225,275,200
Thakurgaon,255,228,232,201,256,226,230,200
Panchagar,271,209,250,186,270,210,250,185
Rangpur Division,262,193,242,176,261,195,242,175
Bangladesh,309,228,287,210,309,234,290,215
