Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.Tons
)",,
,,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17
37,Magura,82,85,84,189,234,302,135,239,238,324,473,540
38,Meherpur,-,0,0,-,0,0,87,66,66,87,66,66
39,Narail,148,151,153,1652,1670,1890,2073,2151,2331,3725,3821,4221
40,Satkhira,208,225,341,340,513,544,177,380,369,517,893,913
4,Khulna,4999,4626,4772,8659,8836,8768,5807,7208,6332,14466,16044,15100
41,Jamalpur,130,125,174,284,292,294,1088,1426,1421,1372,1718,1715
42,Mymensing,260,325,356,846,1009,825,3303,3979,3027,4149,4988,3852
43,Netrakona,38,37,38,170,172,171,988,1051,1037,1158,1223,1208
44,Sherpur,36,42,42,64,156,180,843,1432,1649,907,1588,1829
5,Mymensing,464,529,610,1364,1629,1470,6222,7888,7134,7586,9517,8604
45,Bogura,15,15,15,30,31,38,582,584,823,612,615,861
46,Joypurhat,11,11,9,18,18,19,49,44,45,67,62,64
47,Naogaon,2,1,1,14,14,14,214,211,215,228,225,229
48,Natore,73,114,127,797,1345,1357,1964,2560,2823,2761,3905,4180
49,Chapai Nawabganj,0,0,0,-,0,0,7,7,7,7,7,7
50,Pabna,20,19,21,210,172,202,822,751,844,1032,923,1046
51,Rajshahi,32,32,33,194,195,195,280,218,261,474,413,456
52,Sirajganj,2,1,1,14,12,12,556,580,595,570,592,607
6,Rajshahi,155,193,207,1277,1787,1837,4474,4955,5613,5751,6742,7450
53,Dinajpur,61,59,60,246,205,238,740,575,679,986,780,917
54,Gaibandha,187,177,183,1035,968,760,2639,2913,2955,3674,3881,3715
55,Kurigram,1130,1145,1050,1662,2518,4215,1341,1671,2105,3003,4189,6320
56,Lalmonirhat,557,558,522,1515,2851,1629,792,1452,769,2307,4303,2398
57,Nilphamari,243,246,244,1462,2091,1951,1033,759,1020,2495,2850,2971
58,Panchagarh,155,156,157,1065,1066,1066,2360,2356,2490,3425,3422,3556
59,Rangpur,198,347,322,497,773,753,975,825,889,1472,1598,1642
60,Thakurgaon,9,9,9,30,26,22,120,105,74,150,131,96
7,Rangpur,2540,2697,2547,7512,10498,10634,10000,10656,10981,17512,21154,21615
61,Habiganj,105,106,105,418,314,278,760,513,509,1178,827,787
62,Maulvibazar,48,620,236,629,9,185,2284,858,724,2913,867,909
63,Sunamganj,113,56,44,80,82,99,212,355,537,292,437,636
64,Sylhet,939,1160,1069,3997,3967,4554,2185,2479,2757,6182,6446,7311
8,Sylhet,1205,1942,1454,5124,4372,5116,5441,4205,4527,10565,8577,9643
,BANGLADESH,29400,30416,42068,119987,129221,137916,65580,147442,108947,185567,276663,246863
