"Name of
Distict/Division",November,,,,December,,,
,Without food,,With food,,Without food,,With food,
,Male,Female,Male,Female,Male,Female,Male,Female
Bandarban,341,246,325,230,347,249,332,235
Khagrachhari,294,211,280,197,297,214,284,201
Rangamati,379,279,363,263,383.,283,367,268
Chattagram,418,318,402,302,420,321,406,306
Coxs Bazar,385,300,370,284,372,287,358,274
Cumilla,368,268,356,256,370,265,360,256
Chandpur,296,-,282,-,300,-,286,-
Brahmmanbaria,332,-,318,-,336,-,322,-
Noakhali,330,-,-,-,334,-,-,-
Lakshmipur,320,220,310,-,324,224,317,-
Feni,343,-,327,-,347,-,334,-
Chattagram,346,263,333,255,348,263,336,257
Sylhet,300,247,284,231,300,247,285,232
"Division
Maulavi Bazar",299,221,283,205,303,225,287,210
DSuivniasmiognamnDj ivision,317,266,300,250,302,251,287,236
Habiganj,295,211,270,196,301,217,286,203
Sylhet Division,303,236,284,221,302,235,283,220
Dhaka,338,300,330,292,340,300,329,289
Gagipur,372,300,357,285,374,302,359,287
Manikganj,324,246,308,230,324,245,310,231
Munshiganj,338,-,-,-,338,254,325,-
Narayanganj,351,250,335,234,355,279,341,265
Narsindhi,336,-,314,-,341,-,331,-
Faridpur,317,-,300,252,317,-,305,225
Rajbari,300,-,283,-,304,-,290,-
Madaripur,264,-,-,-,267,-,-,-
Gopalganj,282,264,272,254,303,250,294,241
Sariatpur,273,-,257,-,276,-,268,-
Mymensingh,321,225,302,206,321,241,309,229
Jamalpur,336,-,322,252,336,-,325,252
Sherpur,320,250,305,-,324,254,312,-
Tangail,321,260,305,244,320,220,308,209
Kishoerganj,300,200,286,-,324,229,310,-
Natrokona,293,278,279,262,295,270,289,264
Dhaka Division,317,257,304,251,321,259,313,249
Barishal,325,-,310,-,341,-,331,-
Jhalokathi,376,-,360,-,324,-,312,-
Perojpur,302,-,290,-,302,-,291,-
Bhola,339,-,323,-,340,-,329,-
Patuakhali,312,-,300,-,314,-,307,-
Barguna,310,-,300,-,310,-,300,-
Barishal Division,327,-,314,-,322,-,312,-
