Zila/Division,,2014-15,,2015-16,,2016-17,
,,"Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)"
1,Barguna,296,65,152,97,147,74
2,Barishal,4082,1607,4044,1568,4000,1500
3,Bhola,1549,850,1924,1134,1760,1006
4,Jhallokati,723,262,718,262,670,368
5,Patuakhali,770,139,740,148,710,129
6,Pirojpur,57,16,62,26,62,26
1,Barishal,7477,2939,7640,3235,7349,3103
7,Bandarban,30,8,28,10,27,10
8,Brahmanbaria,3096,644,3037,624,3041,594
9,Chandpur,690,392,668,318,529,214
10,Chittagang,204,44,198,43,199,44
11,Cumilla,1921,751,1580,608,1362,522
12,Cox's Bazar,0,0,0,0,0,0
13,Feni,3117,1069,3108,968,2727,982
14,Khagrachhari,68,11,70,13,72,14
15,Laksmipur,78,14,82,15,76,14
16,Noakhali,252,70,240,62,299,70
17,Rangamati,58,24,114,55,68,26
2,Chittagang,9514,3027,9125,2716,8400,2490
18,Dhaka,601,167,810,250,783,246
19,Faridpur,33171,14861,33145,14745,34093,14112
20,Gazipur,210,75,206,74,206,76
21,Gopalganj,9707,3949,10694,4294,10694,4294
22,Kishorganj,349,123,318,108,312,107
23,Madaripur,10360,4961,12375,5039,12348,5411
24,Manikganj,2365,916,2287,875,855,839
25,Munshiganj,98,32,99,35,105,37
26,Narayanganj,445,146,423,139,397,113
27,Narsingdi,64,18,55,16,53,15
28,Rajbari,16708,7351,14857,6992,15659,7510
29,Shariatpur,6255,3081,6240,2860,6074,2955
30,Tangail,3000,765,2939,768,2896,759
3,Dhaka,83333,36445,84448,36195,84475,36474
31,Bagerhat,1505,479,1545,507,1500,495
32,Chuadanga,4379,1683,4350,1686,4353,1676
33,Jashore,26058,12564,28003,11455,29319,13849
34,Jhenaidah,30057,17050,31145,12826,34319,19431
35,Khulna,264,87,265,87,232,76
36,Kushtia,14662,8784,17557,9696,19223,12021
,,"Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)"
37,Magura,34350,15143,44022,15964,43415,15520
38,Meherpur,11500,5802,13012,5508,16275,8189
39,Narail,13982,6233,14162,6483,15969,7177
40,Satkhira,989,380,997,342,924,327
4,Khulna,137746,68205,155058,64554,165529,78761
41,Jamalpur,1137,348,1153,355,1158,356
42,Mymensing,855,407,845,415,797,396
43,Netrakona,145,49,143,49,104,40
44,Sherpur,98,32,107,36,124,41
5,Mymensing,2235,836,2248,855,2183,833
45,Bogura,1152,461,1168,468,1092,440
46,Joypurhat,362,163,341,154,330,151
47,Naogaon,529,228,468,227,454,215
48,Natore,41186,18901,40102,16301,37830,15386
49,Chapai Nawabganj,656,175,666,414,991,700
50,Pabna,26058,11730,27775,12005,27722,13649
51,Rajshahi,39125,19718,42704,16665,35704,12065
52,Sirajganj,5283,1970,5441,2047,5753,2371
6,Rajshahi,114351,53346,118665,48281,109876,44977
53,Dinajpur,264,87,245,82,269,92
54,Gaibandha,1446,1223,1462,1223,1352,1010
55,Kurigram,1861,697,1599,616,1605,626
56,Lalmonirhat,120,52,109,46,120,51
57,Nilphamari,43,21,36,17,34,16
58,Panchagarh,168,64,173,68,176,65
59,Rangpur,244,123,248,126,254,126
60,Thakurgaon,294,83,289,88,291,89
7,Rangpur,4440,2350,4161,2266,4101,2075
61,Habiganj,219,84,219,86,227,88
62,Maulvibazar,52,29,75,36,77,34
63,Sunamganj,0,0,0,0,0,0
64,Sylhet,0,0,14,4,7,2
8,Sylhet,271,113,308,126,311,124
,BANGLADESH,359367,167261,381653,158228,382224,168837
