Name of Crops,2014-15,,2015-16,,2016-17,
,"Area
(acres)","Production
(MT)","Area
(acres)","Production
(MT)","Area
(acres)","Production
(MT)"
Rabi Brinjal,76370,310354,78458,340150,80195,347541
Cauliflower,48295,268480,47749,268484,48725,277500
Cabbage,43769,258608,44342,295744,45681,311650
Gourd/Water Gourd,45058,198372,45784,218123,46664,226084
Rabi pumpkin,42622,177899,42636,186112,42612,190646
Tomato,75602,413610,67535,368121,68366,388725
Radish,64091,270965,65139,280871,65652,280524
Bean,49192,122091,49923,128676,51595,137495
Bengal Spinach (Palong shak),20355,46394,21545,50555,21598,66292
Red Amaranth (Lalshak),27055,50139,28089,51664,28436,51664
Carrot,4155,14145,4368,15679,4533,16306
Laushak,15008,23434,15373,24702,15474,25100
Other winter Vegetables,17451,39429,17867,40097,18615,44412
Total-,529023,2193920,527908,2268978,538146,2363939
