Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.Tons",,
,,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17
1,Barguna,-,0,0,-,0,0,16,30,32,16,30,32
2,Barishal,-,0,0,-,0,0,596,590,530,596,590,530
3,Bhola,-,0,0,-,0,0,146,218,111,146,218,111
4,Jhallokati,-,0,0,-,0,0,59,60,61,59,60,61
5,Patuakhali,-,0,0,-,0,0,211,482,519,211,482,519
6,Pirojpur,-,0,0,-,0,0,74,64,80,74,64,80
1,Barishal,-,0,0,-,0,0,1102,1444,1333,1102,1444,1333
7,Bandarban,26,16,16,163,19,21,184,144,140,347,163,161
8,Brahmanbaria,-,0,0,-,0,0,300,298,440,300,298,440
9,Chandpur,-,0,0,-,0,0,335,342,325,335,342,325
10,Chittagang,1,1,1,16,12,24,1358,1425,1416,1374,1437,1440
11,Cumilla,-,0,0,-,0,0,622,661,679,622,661,679
12,Cox's Bazar,3,0,0,3,3,0,75,88,200,78,91,200
13,Feni,-,0,0,-,0,0,85,84,69,85,84,69
14,Khagrachhari,14,14,19,169,209,228,843,861,894,1012,1070,1122
15,Laksmipur,-,0,0,-,0,0,75,75,75,75,75,75
16,Noakhali,-,0,0,-,0,0,291,265,322,291,265,322
17,Rangamati,16,17,17,59,64,68,908,944,800,967,1008,868
2,Chittagang,60,48,53,410,307,341,5076,5187,5360,5486,5494,5701
18,Dhaka,-,0,0,-,0,0,229,221,222,229,221,222
19,Faridpur,3,0,0,11,0,0,681,692,690,692,692,690
20,Gazipur,-,0,0,-,0,0,642,662,685,642,662,685
21,Gopalganj,9,9,9,8,8,8,472,488,488,480,496,496
22,Kishorganj,-,0,0,-,0,0,1199,1076,1066,1199,1076,1066
23,Madaripur,-,0,0,-,0,0,516,424,397,516,424,397
24,Manikganj,-,0,0,-,0,0,251,258,263,251,258,263
25,Munshiganj,-,0,0,-,0,0,130,137,143,130,137,143
26,Narayanganj,-,0,0,-,0,0,296,146,184,296,146,184
27,Narsingdi,-,0,0,-,0,0,346,603,712,346,603,712
28,Rajbari,-,0,0,-,0,0,219,219,238,219,219,238
29,Shariatpur,-,0,0,-,0,0,121,446,691,121,446,691
30,Tangail,-,0,0,-,0,0,0,605,582,0,605,582
3,Dhaka,12,9,9,19,8,8,5102,5977,6361,5121,5985,6369
31,Bagerhat,-,0,0,-,0,0,315,226,299,315,226,299
32,Chuadanga,-,0,0,-,0,0,265,241,245,265,241,245
33,Jashore,-,0,0,-,0,0,891,909,995,891,909,995
34,Jhenaidah,-,0,0,-,0,0,396,410,429,396,410,429
35,Khulna,-,0,0,-,0,0,553,555,562,553,555,562
36,Kushtia,-,0,0,-,0,0,1351,1291,1509,1351,1291,1509
