Name of Distict/Division,September,,,,October,,,
,Without food,,With food,,Without food,,With food,
,Male,Female,Male,Female,Male,Female,Male,Female
Jashore,250,222,220,200,245,205,215,200
Jhenaidah,257,230,243,212,255,220,251,210
Magura,335,0,310,0,300,0,276,0
Narial,300,205,275,0,290,210,266,0
Khulna,327,0,305,0,312,0,299,0
Bagerhat,339,0,320,0,362,220,329,0
Satkhira,248,204,0,0,255,205,0,0
Kushita,306,0,300,0,276,0,255,0
Chuadang,215,0,200,0,222,0,210,0
Meherpur,235,200,222,0,230,200,209,190
Khulna Division,281,212,266,206,275,210,257,200
Rajshahi,272,220,244,204,275,219,253,212
Noagoan,275,221,260,207,272,217,258,205
Natore,294,216,273,209,281,216,268,206
Nawbganj,244,205,234,190,237,205,233,193
Bogura,271,220,263,200,278,0,263,234
Joypurhat,303,230,285,210,285,250,280,230
Pabna,322,266,304,250,333,263,322,260
Sirajganj,300,216,274,0,283,210,279,200
Rajshahi Division,285,224,267,210,281,226,270,218
Rangpur,270,200,250,180,250,205,240,185
Gaibanda,232,180,210,0,250,200,220,0
Kurigarm,242,195,222,182,245,200,224,180
Nilphamari,250,210,240,195,250,210,240,190
Lalmonirhat,242,212,220,205,245,215,230,205
Dinajpur,302,250,280,236,300,220,285,200
Thakurgaon,270,238,250,218,264,240,250,220
Panchagar,281,220,262,201,280,220,260,205
Rangpur Division,261,213,242,202,261,214,244,198
Bangladesh,322,248,303,233,319,246,300,231
