Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.Tons",,
,,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17
1,Barguna,-,0,0,-,0,0,14,82,76,14,82,76
2,Barishal,-,0,0,-,0,0,425,367,293,425,367,293
3,Bhola,-,0,0,-,0,0,10,0,0,10,0,0
4,Jhallokati,-,0,0,-,2,0,34,45,67,34,47,67
5,Patuakhali,-,0,0,-,0,0,32,43,42,32,43,42
6,Pirojpur,-,0,0,-,0,20,328,373,461,328,373,481
1,Barishal,-,0,0,-,2,20,843,910,939,843,912,959
7,Bandarban,6,6,5,5,0,0,6,11,11,11,11,11
8,Brahmanbaria,-,0,0,-,0,0,175,323,236,175,323,236
9,Chandpur,-,0,0,-,0,0,12,21,64,12,21,64
10,Chittagang,-,0,0,-,0,0,256,286,274,256,286,274
11,Cumilla,-,0,0,-,0,0,67,78,101,67,78,101
12,Cox's Bazar,-,0,0,-,0,0,171,37,44,171,37,44
13,Feni,-,0,0,-,0,0,12,9,9,12,9,9
14,Khagrachhari,10,0,0,27,17,15,111,126,132,138,143,147
15,Laksmipur,-,0,0,-,0,0,24,30,31,24,30,31
16,Noakhali,-,0,0,-,0,0,41,11,20,41,11,20
17,Rangamati,2,2,0,25,2,1,220,108,109,245,110,110
2,Chittagang,18,8,5,57,19,16,1095,1040,1031,1152,1059,1047
18,Dhaka,-,0,0,-,0,0,400,355,346,400,355,346
19,Faridpur,16,7,0,50,24,2,547,558,537,597,582,539
20,Gazipur,0,0,0,0,0,0,139,151,155,139,151,155
21,Gopalganj,0,0,0,0,0,0,417,662,458,417,662,458
22,Kishorganj,30,0,0,15,0,0,78,74,81,93,74,81
23,Madaripur,0,0,0,0,0,0,733,688,641,733,688,641
24,Manikganj,0,0,0,0,0,0,32,154,153,32,154,153
25,Munshiganj,0,0,0,0,0,0,69,98,132,69,98,132
26,Narayanganj,0,0,0,0,0,0,137,86,129,137,86,129
27,Narsingdi,0,0,0,0,0,0,117,122,193,117,122,193
28,Rajbari,0,0,0,0,0,0,175,138,189,175,138,189
29,Shariatpur,0,0,0,0,0,0,16,20,234,16,20,234
30,Tangail,0,0,0,0,0,0,413,432,395,413,432,395
3,Dhaka,46,7,0,65,24,2,3273,3538,3643,3338,3562,3645
31,Bagerhat,-,0,0,80,0,0,2452,1774,1861,2532,1774,1861
32,Chuadanga,-,0,0,-,0,0,26,31,35,26,31,35
33,Jashore,-,0,0,-,0,0,1582,1713,1925,1582,1713,1925
34,Jhenaidah,-,0,0,-,0,0,161,271,283,161,271,283
35,Khulna,19,0,32,108,0,85,604,666,554,712,666,639
36,Kushtia,-,0,0,-,0,0,234,211,225,234,211,225
