"Sl.
No.",Species,Lower Padma,,,,,,,,Upper Padma,,,,,,,Total
,,"r
u
p
t
a
ir
a
S","r
u
p
ir
a
d
a
M","j
n
a
g
ih
s
n
u
M","a
k
a
h
D","j
n
a
g
k
in
a
M","r
u
p
d
ir
a
F","ir
a
b
j
a
R","Sub-
Total","ir
a
b
j
a
R","a
it
h
s
u
K","a
n
b
a
P","e
r
o
t
a
N","ih
a
h
s
j
a
R","j
n
a
g
.C b
a
w
a
N","Sub-
Total",
1,Rui,21,13,8,12,12,13,19,100,13,15,28,12,18,17,104,204
2,Catla,12,5,6,10,7,4,9,54,8,11,15,7,15,14,71,125
3,Mrigal,11,4,3,9,4,7,4,43,4,3,3,2,7,8,28,71
4,Kalibaus,5,3,2,5,2,3,2,22,3,2,9,2,3,2,21,43
5,Bata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Ghonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Pangas,7,3,3,4,2,2,3,24,0,7,14,14,32,17,85,109
8,Boal/Air,12,18,30,11,17,17,5,111,8,11,23,7,21,26,97,208
9,Shol/Gazar/Taki,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Koi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Shingi/Magur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Sarpunti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Other Inland Fish,123,400,185,104,111,324,236,1484,260,168,635,152,479,358,2114,3598
14,Hilsa/Illish,128,84,369,113,573,340,124,1732,64,11,29,1,24,1,131,1863
15,Galda,0,2,2,5,1,1,2,13,1,1,0,0,0,6,8,21
16,Bagda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Harina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Chaka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Other small shrimp/prawn,19,26,17,79,26,17,43,227,16,12,15,7,18,18,88,315
Total,,340,558,625,353,756,730,448,3810,379,243,772,205,618,468,2747,6557
