Zila/Division,,2015-16,,,,,2016-17,,,,
,,Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Production
(M. Ton)",Acres,Hectares,"Acre
(Maund
)","Hectare
(M. Ton)","Production
(M. Ton)"
33,Barishal,87630,35462,37.77,3.484,123546,79997,32373,38.88,3.586,116099
34,Jhalakathi,20654,8358,41.80,3.856,32226,20961,8482,41.88,3.863,32768
35,Perojpur,34968,14151,34.50,3.182,45032,27884,11284,38.65,3.565,40228
36,Bhola,124950,50565,35.40,3.265,165108,108528,43919,38.34,3.536,155318
37,Patuakhali,2225,900,27.10,2.500,2251,1883,762,31.56,2.911,2218
38,Barguna,568,230,32.40,2.989,687,860,348,34.42,3.175,1105
5,"Barishal
Division",270995,109666,36.46,3.363,368848,240113,97168,38.80,3.579,347736
39,Jashore,325672,131792,43.10,3.976,523944,325793,131841,46.13,4.255,560987
40,Jhenaidah,205472,83150,44.90,4.142,344371,198551,80349,46.35,4.275,343518
41,Magura,77181,31233,37.40,3.450,107748,71450,28914,43.14,3.979,115056
42,Narail,56764,22971,37.00,3.413,78397,59036,23891,40.42,3.728,89072
43,Khulna,80999,32779,36.30,3.348,109752,77230,31253,42.47,3.917,122432
44,Bagerhat,59089,23912,36.70,3.385,80947,52828,21378,37.43,3.453,73809
45,Satkhira,150669,60972,40.60,3.745,228337,151890,61467,41.32,3.811,234270
46,Kushtia,85936,34776,39.70,3.662,127348,80543,32594,43.03,3.969,129368
47,Chuadanga,85202,34479,40.50,3.736,128805,79825,32303,41.34,3.813,123179
48,Meherpur,44780,18121,42.10,3.883,70371,49560,20056,42.27,3.899,78197
6,"Khulna
Division",1171764,474187,41.15,3.796,1800021,1146706,464047,43.69,4.030,1869888
49,Bogura,420523,170176,39.10,3.607,613753,421208,170454,41.02,3.784,644940
50,Joypurhat,121205,49049,44.90,4.142,203139,122880,49727,44.94,4.145,206130
51,Pabna,163250,66064,43.10,3.976,262638,144087,58309,43.10,3.976,231808
52,Sirajgonj,313395,126824,45.44,4.191,531567,311288,125971,44.19,4.076,513468
53,Rajshahi,158907,64306,42.80,3.948,253872,151067,61134,43.05,3.971,242756
54,Noagaon,465350,188317,43.80,4.040,760819,441451,178646,43.78,4.038,721416
55,Natore,127671,51666,48.80,4.501,232562,126077,51021,49.72,4.586,233988
56,Nawabgonj,117461,47534,40.00,3.690,175380,112314,45451,41.16,3.797,172559
7,"Rajshahi
Division",1887762,763936,43.05,3.971,3033730,1830372,740711,43.43,4.006,2967066
57,Dinajpur,394319,159572,43.10,3.976,634384,396539,160471,42.54,3.924,629667
58,Thakurgaon,136715,55326,41.10,3.791,209742,125983,50983,43.33,3.997,203764
59,Panchagar,85802,34722,42.00,3.874,134516,78473,31756,43.30,3.994,126834
60,Rangpur,235108,95143,45.80,4.225,401939,224549,90870,43.41,4.004,363855
61,Gaibandha,233399,94451,38.20,3.524,332805,242513,98140,38.81,3.580,351322
62,Kurigram,198541,80345,43.80,4.040,324602,204177,82626,41.77,3.853,318345
63,Nilphamari,138913,56215,44.70,4.123,231781,134951,54612,42.68,3.937,214995
64,Lalmonirhat,78939,31945,40.00,3.690,117863,83580,33823,42.07,3.881,131251
8,"Rangpur
Division",1501736,607720,42.59,3.929,2387632,1490765,603280,42.05,3.879,2340033
BANGLADESH,,9991968,4043531,41.85,3.860,15609325,9268392,3750715,42.42,3.913,14674722
