Name of Distict/Division,May,,,,June,,,
,Without food,,With food,,Without food,,With food,
,Male,Female,Male,Female,Male,Female,Male,Female
Bandarban,361,263,325,250,360,262,325,250
Khagrachhari,307,225,275,205,306,220,270,205
Rangamati,390,261,370,225,390,261,372,225
Chattagram,427,317,409,300,415,320,395,300
Coxs Bazar,428,325,390,285,412,320,378,270
Cumilla,396,305,370,290,330,230,320,220
Chandpur,333,250,305,-,330,263,305,-
Brahmmanbaria,390,308,360,275,385,285,370,270
Noakhali,346,-,330,-,316,-,310,-
Lakshmipur,320,200,290,180,320,200,290,180
Feni,340,-,315,-,338,-,316,-
Chattagram Division,367,273,340,251,355,262,332,240
"Sylhet
DivisionmDivision",317,250,300,230,301,250,297,230
Maulavi Bazar,307,256,281,225,308,258,280,225
Sunamganj,315,250,273,204,300,240,270,232
Habiganj,320,244,290,210,310,240,290,215
Sylhet Division,315,250,286,217,305,247,284,226
Dhaka,425,320,400,295,380,300,356,290
Gagipur,390,352,375,334,373,318,330,290
Manikganj,370,310,350,285,350,295,325,280
Munshiganj,357,280,330,-,347,-,328,-
Narayanganj,370,275,340,252,360,275,340,240
Narsindhi,390,350,360,325,388,313,348,298
Faridpur,342,-,320,-,330,-,305,-
Rajbari,330,270,310,250,310,255,300,-
Madaripur,300,225,280,200,300,225,280,200
Gopalganj,320,270,300,255,310,270,280,250
Sariatpur,300,208,280,200,302,200,275,180
Mymensingh,410,300,395,280,380,280,350,269
Jamalpur,425,-,400,267,390,-,365,260
Sherpur,400,300,380,-,350,250,340,-
Tangail,430,320,405,300,380,300,350,255
Kishoerganj,412,320,405,300,370,-,320,-
Natrokona,395,300,390,-,375,300,342,-
Dhaka Division,374,293,354,273,353,275,326,256
Barishal,338,-,328,250,335,-,320,-
Jhalokathi,383,-,358,-,373,-,350,-
Perojpur,340,240,319,220,348,222,322,210
Bhola,357,-,330,-,355,-,321,-
Patuakhali,315,-,302,-,320,-,302,-
Barguna,357,-,321,-,356,-,321,-
Barishal Division,348,240,326,235,348,222,323,210
