Zila/Division,,2015-16,,,,,2016-17,,,,
,,Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Production
(M. Ton)",Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Production
(M. Ton)"
1,Bandarban,557,225,20.19,1.862,420,560,227,20.30,1.872,424
2,Chattagram,69585,28160,19.99,1.844,51923,68061,27543,19.35,1.785,49159
3,Cox's Bazar,11963,4841,19.51,1.800,8712,12246,4956,19.63,1.811,8973
4,Cumilla,27202,11008,16.70,1.540,16957,21217,8586,16.85,1.554,13345
5,Chandpur,12565,5085,14.24,1.313,6679,8141,3294,14.04,1.295,4267
6,Brahmanbaria,14810,5993,18.40,1.697,10172,14866,6016,18.85,1.739,10460
7,Khagrachari,4084,1653,19.00,1.753,2896,3999,1618,19.30,1.780,2881
8,Noakhali,214969,86993,16.60,1.531,133202,203438,82327,17.46,1.611,132588
9,Lakshmipur,64786,26217,18.30,1.688,44255,52125,21094,19.40,1.789,37746
10,Feni,17030,6892,19.20,1.771,12205,17001,6880,19.60,1.808,12438
11,Rangamati,601,243,18.81,1.735,422,572,231,20.07,1.851,429
1,"Chattagram
Division",438152,177311,17.60,1.623,287842,402226,162772,18.16,1.675,272710
12,Sylhet,128635,52056,18.60,1.716,89310,125067,50612,18.34,1.692,85619
13,Maulavibazar,8959,3626,17.22,1.588,5759,6928,2804,17.43,1.608,4507
14,Sunamgonj,39522,15994,17.32,1.598,25551,46168,18683,17.20,1.587,29641
15,Hobigonj,40481,16382,17.90,1.651,27048,30240,12237,18.01,1.661,20329
2,"Sylhet
Division",217597,88057,18.18,1.677,147668,208403,84336,18.01,1.661,140097
16,Dhaka,3281,1328,15.59,1.438,1909,2964,1199,16.29,1.503,1802
17,Gazipur,11079,4483,14.20,1.310,5872,10156,4110,16.20,1.494,6141
18,Manikgonj,212,86,15.00,1.384,119,442,179,15.98,1.474,264
19,Munsigonj,0,0,0.00,0.000,0,0,0,0.00,0.000,0
20,Narayangonj,0,0,0.00,0.000,0,999,404,13.90,1.282,518
21,Narsingdi,15378,6223,18.00,1.660,10332,16160,6540,18.60,1.716,11220
22,Faridpur,2966,1200,18.37,1.694,2034,3135,1269,18.55,1.711,2171
23,Rajbari,932,377,16.10,1.485,560,853,345,16.24,1.498,517
24,Madaripur,15000,6070,18.50,1.706,10358,12597,5098,18.97,1.750,8920
25,Gopalgonj,992,401,17.00,1.568,629,955,386,16.54,1.526,590
26,Shariatpur,10173,4117,19.10,1.762,7253,11170,4520,17.71,1.634,7384
27,Kishoregonj,16781,6791,18.90,1.743,11839,15957,6457,17.56,1.620,10459
28,Tangail,56259,22767,17.70,1.633,37170,52322,21174,17.95,1.656,35057
3,"Dhaka
Division",133053,53844,17.73,1.636,88076,127710,51681,17.84,1.646,85043
29,Jamalpur,35134,14218,17.20,1.587,22557,52860,21391,17.41,1.606,34352
30,Sherpur,85397,34558,18.90,1.743,60246,84949,34377,18.72,1.727,59360
31,Netrokona,85425,34570,17.82,1.644,56822,95528,38658,17.81,1.643,63507
32,Mymenshing,106748,43199,17.10,1.577,68137,109785,44428,17.25,1.591,70690
4,"Mymenshing
Division",312704,126544,17.10,1.642,207763,343122,138854,17.79,1.641,227909
