Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.Tons",,
,,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17
1,Barguna,37,0,0,-,0,0,14791,11648,11730,14791,11648,11730
2,Barishal,124,170,85,440,12252,725,17123,6952,12879,17563,19204,13604
3,Bhola,40,0,0,-,0,0,14731,10608,14288,14731,10608,14288
4,Jhallokati,-,0,0,-,0,0,5729,1184,5826,5729,1184,5826
5,Patuakhali,-,0,0,-,0,0,12351,12869,13096,12351,12869,13096
6,Pirojpur,-,0,113,-,1031,1595,23589,21675,24116,23589,22706,25711
1,Barishal,201,170,198,440,13283,2320,88314,64936,81935,88754,78219,84255
7,Bandarban,33,33,33,318,133,283,461,679,526,779,812,809
8,Brahmanbaria,-,0,0,-,0,0,3472,20740,2456,3472,20740,2456
9,Chandpur,90,85,53,620,496,505,6041,4886,5888,6661,5382,6393
10,Chittagang,114,115,115,586,1051,1067,8533,8205,8190,9119,9256,9257
11,Cumilla,9,9,0,252,264,0,11151,10488,8989,11403,10752,8989
12,Cox's Bazar,10,201,311,2200,2066,5479,5149,5517,11672,7349,7583,17151
13,Feni,-,0,0,-,0,5479,2252,2151,2061,2252,2151,7540
14,Khagrachhari,14,14,14,25,40,36,1070,1355,1264,1095,1395,1300
15,Laksmipur,660,658,0,1408,2313,0,8280,6043,10150,9688,8356,10150
16,Noakhali,-,0,0,-,0,0,11118,10837,53488,11118,10837,53488
17,Rangamati,222,41,225,2118,2452,2456,2375,2250,2253,4493,4702,4709
2,Chittagang,1152,1156,751,7527,8815,15305,59902,73151,106937,67429,81966,122242
18,Dhaka,31,30,28,74,346,199,1410,1358,1532,1484,1704,1731
19,Faridpur,40,40,40,258,318,322,5005,4945,5073,5263,5263,5395
20,Gazipur,32,27,27,197,169,171,1972,2156,2230,2169,2325,2401
21,Gopalganj,45,46,15,505,186,50,2680,4546,2070,3185,4732,2120
22,Kishorganj,4,4,4,33,84,88,5811,6845,7134,5844,6929,7222
23,Madaripur,0,0,0,0,0,0,14713,18850,18887,14713,18850,18887
24,Manikganj,4,4,5,311,347,382,11883,13204,13671,12194,13551,14053
25,Munshiganj,0,0,0,0,0,0,546,748,553,546,748,553
26,Narayanganj,0,0,0,0,0,0,1032,1799,1725,1032,1799,1725
27,Narsingdi,0,0,0,0,0,0,1393,1190,2273,1393,1190,2273
28,Rajbari,86,79,100,5055,5488,4104,4453,3371,3876,9508,8859,7980
29,Shariatpur,0,90,84,0,150,433,8924,9348,7566,8924,9498,7999
30,Tangail,14,14,14,112,145,151,4668,4773,4495,4780,4918,4646
3,Dhaka,256,334,317,6545,7233,5900,64490,73133,71085,71035,80366,76985
31,Bagerhat,880,858,846,2821,2947,2882,8024,8328,8098,10845,11275,10980
32,Chuadanga,160,157,143,1225,1633,1587,3462,2578,2601,4687,4211,4188
33,Jashore,233,280,283,2275,2511,2540,3758,4108,6764,6033,6619,9304
34,Jhenaidah,61,334,140,8914,1762,1721,10841,9806,8704,19755,11568,10425
35,Khulna,262,7592,236,833,1069,1113,9627,10351,11703,10460,11420,12816
36,Kushtia,121,117,94,1918,1490,1570,11012,11785,14735,12930,13275,16305
