Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.Tons",,
,,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17
1,Barguna,-,0,0,-,0,0,10,0,0,10,0,0
2,Barishal,-,0,0,-,0,0,-,10,0,-,10,0
3,Bhola,-,0,0,-,0,0,-,0,0,-,0,0
4,Jhallokati,-,0,0,-,0,0,-,0,0,-,0,0
5,Patuakhali,-,0,0,-,0,0,-,0,0,-,0,0
6,Pirojpur,-,0,0,-,0,0,-,0,0,-,0,0
1,Barishal,-,0,0,-,0,0,10,10,0,10,10,0
7,Bandarban,-,0,0,-,0,0,6,6,6,6,6,6
8,Brahmanbaria,-,0,0,-,0,0,42,34,50,42,34,50
9,Chandpur,-,0,0,-,0,0,5,7,8,5,7,8
10,Chittagang,-,0,0,-,0,0,46,36,64,46,36,64
11,Cumilla,-,0,0,-,0,0,60,58,62,60,58,62
12,Cox's Bazar,-,0,0,-,0,0,66,74,73,66,74,73
13,Feni,-,0,0,-,0,0,30,30,30,30,30,30
14,Khagrachhari,-,0,0,-,0,0,83,85,102,83,85,102
15,Laksmipur,-,0,0,-,0,0,21,21,21,21,21,21
16,Noakhali,-,0,0,-,0,0,57,71,72,57,71,72
17,Rangamati,-,0,0,-,0,0,633,659,216,633,659,216
2,Chittagang,-,0,0,-,0,0,1049,1081,704,1049,1081,704
18,Dhaka,0,0,0,0,0,0,194,189,198,194,189,198
19,Faridpur,0,0,0,0,0,0,232,231,236,232,231,236
20,Gazipur,0,0,0,0,0,0,149,160,172,149,160,172
21,Gopalganj,0,0,0,0,0,0,465,565,563,465,565,563
22,Kishorganj,0,0,0,0,0,0,152,164,162,152,164,162
23,Madaripur,0,0,0,0,0,0,0,0,0,0,0,0
24,Manikganj,0,0,0,0,0,0,52,61,64,52,61,64
25,Munshiganj,0,0,0,0,0,0,0,0,0,0,0,0
26,Narayanganj,0,0,0,0,0,0,24,49,30,24,49,30
27,Narsingdi,0,0,0,0,0,0,210,239,264,210,239,264
28,Rajbari,0,0,0,0,0,0,283,289,438,283,289,438
29,Shariatpur,0,0,0,0,0,0,3,8,9,3,8,9
30,Tangail,-,0,0,-,0,0,336,347,353,336,347,353
3,Dhaka,0,0,0,0,0,0,2100,2302,2489,2100,2302,2489
31,Bagerhat,-,0,0,-,0,0,305,230,247,305,230,247
32,Chuadanga,-,0,0,-,0,0,304,278,295,304,278,295
33,Jashore,-,0,0,-,0,0,707,732,815,707,732,815
34,Jhenaidah,-,0,0,-,0,0,624,657,834,624,657,834
35,Khulna,-,0,0,-,0,0,393,393,410,393,393,410
36,Kushtia,-,0,0,-,0,0,2556,3100,3543,2556,3100,3543
