Regions,Total Area (‘000’ acres),,,,,Net cropped area (area in ‘000’ acres),,,,
,2011-12,2012-13,2013-14,2014-15,2015-16,2011-12,2012-13,2013-14,2014-15,2015-16
1,2,3,4,5,6,7,8,9,10,11
Bandarban,1107,1107,1107,1107,1107,67,67,70,69,67
Chattagram,2035,2035,1921,1921,1921,623,616,609,608,612
Cumilla,1660,1660,1649,1649,1649,1113,1105,1092,1091,1071
Khagrachhari,667,667,679,679,679,74,75,75,75,74
Noakhali,1525,1525,1512,1512,1512,690,689,708,695,676
Rangamati,1511,1511,1511,1511,1511,86,80,85,87,84
Sylhet,3113,3113,3122,3122,3122,1569,1614,1599,1614,1605
Dhaka,1838,1838,1851,1851,1851,948,950,960,1011,849
Faridpur,1726,1726,1708,1708,1708,1114,1066,1063,991,999
Jamalpur,839,839,860,860,860,588,586,586,560,582
Kishoreganj,1380,1380,1354,1354,1354,873,873,892,877,893
Mymensingh,1078,1078,1086,1086,1086,741,724,713,732,734
Tangail,844,844,844,844,844,548,535,837,490,516
Barishal,2040,2040,2020,2020,2020,1157,1145,1131,1169,1069
Jashore,1623,1623,1626,1626,1626,1107,1094,1104,1086,1095
Khulna,3062,3062,3007,3007,3007,969,975,977,965,959
Kushtia,861,861,874,874,874,553,539,550,557,577
Patuakhali,1245,1245,1249,1249,1249,751,750,747,756,807
Bogura,960,960,966,966,966,714,715,717,713,712
Dinajpur,1644,1644,1638,1638,1638,1222,1240,1250,1233,1307
Pabna,1201,1201,1181,1181,1181,766,770,774,715,741
Rajshahi,2333,2333,2339,2339,2339,1735,1738,1747,1804,1821
Rangpur,2377,2377,2361,2361,2361,1586,1597,1595,1698,1600
Bangladesh,36669,36669,36465,36465,36465,19594,19543,19581,19596,19636
