Zila/Division,,2014-15,,,,,2015-16,,,,
,,Area,,Yield per,,"Production
(Bales)",Area,,Yield per,,"Production
(Bales)"
,,Acres,Hectares,"Acre
(Bales)","Hectare
(Bales)",,Acres,Hectares,"Acre
(Bales)","Hectare
(Bales)",
33,Barishal,12972,5249,4.63,11.441,60060,19583,7925,4.49,11.095,87928
34,Jalakati,0,0,0.00,0.000,,0,0,0.00,0.000,0
35,Perojpur,921,373,2.76,6.820,2542,914,370,2.43,6.005,2221
36,Bhola,0,0,0.00,0.000,0,0,0,0.00,0.000,0
37,Patuakhali,0,0,0.00,0.000,0,0,0,0.00,0.000,0
38,Barguna,0,0,0.00,0.000,0,0,0,0.00,0.000,0
5,"Barishal
Division",13893,5622,4.51,11.135,62602,20497,8295,4.40,10.868,90149
39,Jashore,58135,23526,5.09,12.578,295907,67687,27391,5.10,12.603,345204
40,Jhenaidah,48533,19640,5.19,12.825,251886,56220,22751,5.21,12.874,292906
41,Magura,82403,33347,4.30,10.626,354333,94475,38232,4.33,10.700,409077
42,Narail,48495,19625,4.74,11.713,229866,53703,21732,4.65,11.491,249719
43,Khulna,5217,2111,4.66,11.515,24311,5374,2175,4.63,11.441,24882
44,Bagerhat,2921,1182,4.36,10.774,12736,2887,1168,4.39,10.848,12674
45,Satkhira,26199,10602,4.20,10.379,110036,27291,11044,4.25,10.502,115987
46,Kustia,91375,36977,4.78,11.812,436773,97181,39327,4.82,11.911,468412
47,Chuadanga,47439,19198,5.22,12.899,247632,59114,23922,5.23,12.924,309166
48,Meherpur,58530,23686,5.14,12.701,300844,60633,24537,5.15,12.726,312260
6,Khulna Division,469247,189894,4.83,11.924,2264323,524565,212280,4.84,11.967,2540286
49,Bogura,36969,14961,5.17,12.776,191130,34082,13792,5.18,12.800,176545
50,Joypurhat,3155,1277,5.18,12.800,16343,3396,1374,5.19,12.825,17625
51,Pabna,86627,35056,5.16,12.751,446995,91997,37229,5.17,12.776,475624
52,Sirajgonj,45710,18498,4.21,10.403,192439,48746,19726,4.22,10.428,205708
53,Rajshahi,27535,11143,5.05,12.479,139052,31405,12709,5.09,12.578,159851
54,Noagaon,16570,6706,5.02,12.405,83181,16297,6595,5.06,12.504,82463
55,Natore,34629,14014,4.64,11.466,160679,38021,15386,4.65,11.491,176798
56,Nawabgonj,1048,424,3.99,9.860,4182,2070,838,4.00,9.884,8280
7,"Rajshahi
Division",252243,102077,4.89,12.089,1234000,266014,107650,4.90,12.103,1302895
57,Dinajpur,21986,8897,4.75,11.738,104434,25267,10225,4.76,11.762,120271
58,Thakurgaon,20560,8320,4.72,11.664,97043,22563,9131,4.73,11.688,106723
59,Panchagar,21140,8555,4.24,10.477,89634,23951,9692,4.26,10.527,102031
60,Rangpur,27690,11206,4.98,12.306,137896,29034,11749,5.04,12.454,146331
61,Gaibanda,32360,13095,5.00,12.356,161800,33551,13577,4.92,12.158,165071
62,Kurigram,42532,17212,4.57,11.293,194371,41873,16945,4.57,11.293,191360
63,Nilphamari,18675,7557,4.32,10.675,80676,22149,8963,4.34,10.724,96122
64,Lalmonirhat,10150,4107,5.25,12.973,53288,9736,3940,5.17,12.776,50335
8,"Rangpur
Division",195093,78950,4.71,11.642,919141,208124,84223,4.70,11.615,978244
BANGLADESH,,1674611,677678,4.51,11.154,7558934,1823104,737770,4.52,11.178,8246797
