Name of Distict/Division,May,,,,June,,,
,Without food,,With food,,Without food,,With food,
,Male,Female,Male,Female,Male,Female,Male,Female
Jashore,283,233,265,202,270,220,260,190
Jhenaidah,299,221,291,210,280,201,250,181
Magura,305,-,273,-,290,-,264,-
Narial,292,205,265,-,290,170,250,-
Khulna,319,250,300,230,300,230,290,220
Bagerhat,338,240,319,220,330,200,310,-
Satkhira,300,220,-,-,280,200,-,-
Kushita,297,-,275,-,288,-,261,-
Chuadang,213,-,210,150,217,-,210,-
Meherpur,220,180,200,-,208,-,185,170
Khulna Division,287,221,266,202,275,204,253,190
Rajshahi,265,228,250,216,260,207,243,200
Noagoan,280,200,260,195,271,203,260,186
Natore,252,210,225,190,250,202,225,185
Nawbganj,240,210,220,190,240,210,210,190
Bogura,288,-,270,207,280,210,265,203
Joypurhat,300,240,298,210,303,235,288,200
Pabna,342,270,325,268,330,262,320,260
Sirajganj,366,275,351,250,345,270,315,240
Rajshahi Division,292,233,275,216,285,225,266,208
Rangpur,285,165,270,160,280,198,257,185
Gaibanda,270,200,255,185,260,185,241,-
Kurigarm,241,171,235,160,230,204,200,173
Nilphamari,239,163,210,145,290,200,280,190
Lalmonirhat,280,210,260,185,290,200,280,180
Dinajpur,270,200,250,182,300,200,290,180
Thakurgaon,300,260,275,230,290,250,270,220
Panchagar,265,210,250,200,262,210,245,200
Rangpur Division,269,197,251,181,275,206,258,190
Bangladesh,322,244,300,225,314,234,292,217
