"Name of
crops",2012-13,,2013-14,,2014-15,,2015-16,,2016-17,
,Area,Prod.,Area,Prod.,Area,Prod.,Area,Prod.,Area,Prod.
Aus Rice,,,,,,,,,,
Local,652905,336763,601027,303560,569378,293191,523605,277647,465703,253527
HYV*,1949392,1821475,1996624,2022477,2013925,2034899,1991898,2010995,1861285,1880090
Total Aus,2602297,2158238,2597651,2326037,2583303,2328090,2515503,2288642,2326988,2133617
Aman Rice,,,,,,,,,,
Broadcast,912926,438002,767291,361423,809645,384411,813209,392331,810494,396272
Local Trans.,3127941,2021776,3010754,1999821,2869352,1917882,2746745,1851163,2675628,1820241
HYV*,9822394,10437432,9887758,10662068,9986220,10887870,10254336,11239943,10310651,11433542
Total Aman,13863261,12897210,13665808,13023312,13665217,13190163,13814290,13483437,13796773,13656054
Boro Rice,,,,,,,,,,
Local,162957,136835,131134,99846,129905,98729,116883,89341,84137,65936
HYV*,10081907,15751828,10134666,15898467,10105669,15782543,9991968,15609325,9268392,14674722
Hybrid,1517708,2889492,1571534,3008893,1725099,3310892,1684661,3238915,1707808,3273091
Total Boro,11762572,18778155,11837334,19007201,11960673,19192164,11793512,18937581,11060337,18013749
Total Rice,28228130,33833603,28100793,34356550,28209193,34710417,28123305,34709660,27184038,33803420
Wheat,1029268,1254778,1061602,1302998,1079411,1347926,1099158,1348186,1026343,1311473
"Total of Mojar
Cereals",29257398,35088381,29162390,35659553,29288604,36058343,29222463,36057846,28210441,35114893
