Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.Tons
)",,
,,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17
37,Magura,-,0,0,-,0,0,-,0,0,-,0,0
38,Meherpur,-,0,0,-,0,0,-,0,0,-,0,0
39,Narail,-,0,0,-,0,0,-,0,0,-,0,0
40,Satkhira,-,0,0,-,0,0,2,2,3,2,2,3
4,Khulna,107,124,225,160,2318,18324,1897,41,612,2057,2359,18936
41,Jamalpur,0,0,0,0,0,0,0,0,0,0,0,0
42,Mymensing,0,0,0,0,0,0,0,0,0,0,0,0
43,Netrakona,0,0,0,0,0,0,0,0,0,0,0,0
44,Sherpur,0,0,0,0,0,0,0,0,0,0,0,0
5,Mymensing,0,0,0,0,0,0,0,0,0,0,0,0
45,Bogura,4,96,3,1,3,5,1,2,0,2,5,5
46,Joypurhat,2,3,3,2,1,1,1,2,4,3,3,5
47,Naogaon,1,1,1,1,0,3,3,0,6,4,0,9
48,Natore,-,0,0,-,0,0,-,0,0,-,0,0
49,Chapai Nawabganj,-,0,0,-,0,0,-,0,0,-,0,0
50,Pabna,-,0,0,-,0,0,-,0,0,-,0,0
51,Rajshahi,-,0,0,-,0,0,-,0,0,-,0,0
52,Sirajganj,-,0,0,1,0,0,12,24,23,13,24,23
6,Rajshahi,7,100,7,5,4,9,17,0,33,22,4,42
53,Dinajpur,1,1,0,6,6,6,3,1,2,9,7,8
54,Gaibandha,1,1,0,-,1,1,1,0,0,1,1,1
55,Kurigram,-,0,0,-,0,0,-,0,0,-,0,0
56,Lalmonirhat,1,0,0,-,0,1,2,1,0,2,2,1
57,Nilphamari,-,0,0,1,0,0,3,23,0,4,23,0
58,Panchagarh,-,0,0,-,0,0,-,0,0,-,0,0
59,Rangpur,1,0,0,-,0,0,2,0,1,2,0,1
60,Thakurgaon,-,0,0,-,0,0,-,0,0,-,0,0
7,Rangpur,4,2,0,7,7,8,11,25,3,18,32,11
61,Habiganj,-,0,0,-,0,0,-,0,0,-,0,0
62,Maulvibazar,-,0,0,-,0,0,-,0,0,-,0,0
63,Sunamganj,-,0,0,-,0,0,-,0,0,-,0,0
64,Sylhet,-,0,0,-,0,0,-,0,0,-,0,0
8,Sylhet,-,0,0,-,0,0,-,0,0,-,0,0
,BANGLADESH,281,475,516,353,2521,18694,2105,281,807,2458,2802,19501
