Crop,,2014-15,,,2015-16,,,2016-17,,
,,"Area '000'
Acres","Per acre
Yield (Kg)","Production
'000'M.Tons","Area '000'
Acres","Per acre
Yield (Kg)","Production
'000'M.Tons","Area '000'
Acres","Per acre
Yield (Kg)","Production
'000'M.Tons"
MAJOR CEREALS,,,,,,,,,,
Rice,,,,,,,,,,
AUS,Local,569,515,293,524,530,278,766,545,254
,HYV,2014,1010,2035,1992,1010,20110,1861,1010,1880
,Total Aus,2583,1094,2328,2516,909,2288,2327,917,2134
AMAN,Broadcast,810,474,384,813,482,392,810,489,396
,T. Local,2869,668,1918,2747,673,1852,2676,680,1820
,HYV,9986,1090,10888,10254,10961,11240,10311,1109,11440
,Total Aman,13665,965,13190,13814,976,13484,13797,990,13656
BORO,Local,130,761,99,117,769,90,84,786,66
,HYV,10106,1561,15782,9992,561,15609,9768,1583,14675
,Hybrid,1725,1919,3311,1685,1922,3239,1708,1916,3273
Total Boro,,11961,1604,19192,11794,1606,18938,11060,1629,18014
Total Rice,,28209,1230,34710,28124,1234,34710,27184,1244,33804
Wheat,,1079,1249,1348,1099,1226,1348,1026,1278,1311
Total Major Cereals,,29228,1233,36058,29223,1233,36058,28210,1245,35115
MINOR CEREALS,,,,,,,,,,
Barley/Jab,,0.014,432,0.064,0.880,360,0.317,1,353,0.287
Jower,,0.48,250,0.12,0.230,448,0.122,0.207,446,0.092
Bazra,,0.09,532,0.05,0.089,539,0.048,0.076,526,0.04
Maize,,804,2826,2272,827,2956,2445,963,3141,3026
Cheena & Kaon,,3,597,7,3,421,1,3,401,1
Other Cereals,,0.03,234,0.09,1,200,0.20,1,369,0.485
Total Minor Cereals,,807,2816,2274,834,2943,2446,968,3126,3027
"Total Cereals
(Major+minor)",,30035,1276,38332,30057,1236,37156,29178,1307,38141
PULSES,,,,,,,,,,
Gram,,17,382,7,15,425,6,15,427,6
Arhar,,1,424,1,1,425,1,1,433,1
Masur,,359,465,167,382,415,158,382,442,169
Motor,,19,394,7,18,411,7,17,411,7
Mung,,96,341,33,101,351,37,102,340,35
Mashkalai,,96,347,33,98,359,35,103,381,39
Khesari,,278,435,121,280,437,122,277,431,119
Other Pulses,,4,414,2,22,540,11,23,501,11
Garikalai-,,-,-,-,-,-,-,-,-,-
Total Pulses,,1011,718,726,917,411,377,920,379,387
