Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.Tons",,
,,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17
1,Barguna,-,0,0,-,0,0,246,291,393,246,291,393
2,Barishal,-,40,40,733,8,705,4294,5762,5323,5027,5770,6028
3,Bhola,1,0,0,-,0,0,753,1250,1066,753,1250,1066
4,Jhallokati,-,20,20,-,497,140,2883,2680,3096,2883,3177,3236
5,Patuakhali,-,0,0,-,0,0,476,561,477,476,561,477
6,Pirojpur,-,24,138,507,231,1507,2483,3175,3029,2990,3406,4536
1,Barishal,1,84,198,1240,736,2352,11135,13719,13384,12375,14455,15736
7,Bandarban,-,19,19,33,20,36,124,150,176,157,170,212
8,Brahmanbaria,-,0,0,-,0,0,19,21,21,19,21,21
9,Chandpur,-,0,0,-,0,0,101,107,111,101,107,111
10,Chittagang,-,0,0,-,0,0,402,28,442,402,28,442
11,Cumilla,-,0,0,85,0,0,115,220,229,200,220,229
12,Cox's Bazar,2,0,0,-,0,0,363,503,519,363,503,519
13,Feni,-,0,0,-,0,0,39,46,49,39,46,49
14,Khagrachhari,-,0,0,-,0,0,129,159,162,129,159,162
15,Laksmipur,-,0,0,-,0,0,187,222,226,187,222,226
16,Noakhali,-,0,0,-,0,0,83,91,225,83,91,225
17,Rangamati,7,4,4,15,17,19,198,225,250,213,242,269
2,Chittagang,9,23,23,133,37,55,1760,1772,2410,1893,1809,2465
18,Dhaka,-,0,0,-,0,0,230,240,254,230,240,254
19,Faridpur,48,5,0,18,18,0,776,870,675,794,888,675
20,Gazipur,85,4,4,12,12,15,130,144,156,142,156,171
21,Gopalganj,65,0,0,0,0,0,117,762,769,117,762,769
22,Kishorganj,0,0,0,0,0,0,300,308,354,300,308,354
23,Madaripur,37,0,0,0,0,0,235,604,773,235,604,773
24,Manikganj,18,0,0,0,0,0,55,59,60,55,59,60
25,Munshiganj,0,0,0,0,0,0,121,115,147,121,115,147
26,Narayanganj,0,0,0,0,0,0,109,143,167,109,143,167
27,Narsingdi,0,0,0,0,0,0,129,175,200,129,175,200
28,Rajbari,0,0,0,0,0,0,396,465,496,396,465,496
29,Shariatpur,7,0,0,0,0,0,227,239,269,227,239,269
30,Tangail,17,0,0,0,0,0,407,443,458,407,443,458
3,Dhaka,277,9,4,30,30,15,3232,4567,4778,3262,4597,4793
31,Bagerhat,-,0,0,-,0,0,1477,1176,986,1477,1176,986
32,Chuadanga,200,7,8,32,31,33,431,437,465,463,468,498
33,Jashore,198,67,14,77,70,93,1052,1141,1594,1129,1211,1687
34,Jhenaidah,67,0,0,-,0,0,1152,1379,1456,1152,1379,1456
35,Khulna,35,0,0,-,0,0,1772,1577,1585,1772,1577,1585
36,Kushtia,41,0,0,-,0,0,771,622,574,771,622,574
