Zila/Division,,2015-16,,,,,2016-17,,,,
,,Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Production
(M. Ton)",Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Production
(M. Ton)"
33,Barishal,6791,2748,14.50,1.337,3676,6114,2474,14.24,1.313,3250
34,Jhalakathi,0,0,0.00,0.000,0,0,0,0.00,0.000,0
35,Perojpur,9518,3852,17.50,1.614,6217,5821,2356,17.36,1.601,3772
36,Bhola,0,0,0.00,0.000,0,0,0,0.00,0.000,0
37,Patuakhali,0,0,0.00,0.000,0,0,0,0.00,0.000,0
38,Barguna,0,0,0.00,0.000,0,0,0,0.00,0.000,0
5,"Barishal
Division",16309,6600,16.25,1.499,9893,11935,4830,15.76,1.454,7022
39,Jashore,567,229,17.01,1.569,360,320,129,16.91,1.560,202
40,Jhenaidah,900,364,17.20,1.587,578,56,23,17.10,1.577,36
41,Magura,766,310,11.60,1.070,332,627,254,11.50,1.061,269
42,Narail,22723,9195,12.01,1.108,10187,18908,7652,11.01,1.016,7771
43,Khulna,16447,6656,13.01,1.200,7987,13455,5445,11.20,1.033,5625
44,Bagerhat,3686,1492,16.78,1.548,2309,2942,1191,16.67,1.538,1831
45,Satkhira,0,0,0.00,0.000,0,0,0,0.00,0.000,0
46,Kushtia,1603,649,12.65,1.167,757,990,401,13.34,1.230,493
47,Chuadanga,0,0,0.00,0.000,0,0,0,0.00,0.000,0
48,Meherpur,50,20,15.50,1.430,29,0,0,0.00,0.000,0
6,"Khulna
Division",46742,18915,12.92,1.192,22538,37298,15094,11.65,1.075,16226
49,Bogura,0,0,0.00,0.000,0,0,0,0.00,0.000,0
50,Joypurhat,0,0,0.00,0.000,0,0,0,0.00,0.000,0
51,Pabna,100260,40573,12.50,1.153,46781,99130,40116,13.40,1.236,49584
52,Sirajgonj,40494,16387,12.50,1.153,18894,34581,13994,13.60,1.254,17555
53,Rajshahi,0,0,0.00,0.000,0,0,0,0.00,0.000,0
54,Noagaon,138,56,14.00,0.000,72,60,24,15.54,1.433,35
55,Natore,47026,19030,13.30,1.227,23346,46391,18773,13.52,1.247,23412
56,Nawabgonj,0,0,0.00,0.000,0,0,0,0.00,0.000,0
7,"Rajshahi
Division",187918,76046,12.70,1.172,89093,180162,72908,13.47,1.242,90585
57,Dinajpur,0,0,0.00,0.000,0,0,0,0.00,0.000,0
58,Thakurgaon,0,0,0.00,0.000,0,0,0,0.00,0.000,0
59,Panchagar,0,0,0.00,0.000,0,0,0,0.00,0.000,0
60,Rangpur,0,0,0.00,0.000,0,0,0,0.00,0.000,0
61,Gaibandha,0,0,0.00,0.000,0,0,0,0.00,0.000,0
62,Kurigram,0,0,0.00,0.000,0,0,0,0.00,0.000,0
63,Nilphamari,0,0,0.00,0.000,0,0,0,0.00,0.000,0
64,Lalmonirhat,0,0,0.00,0.000,0,0,0,0.00,0.000,0
8,"Rangpur
Division",0,0,0.00,0.000,0,0,0,0.00,0.000,0
BANGLADESH,,813209,329088,12.92,1.192,392331,810494,327989,13.10,1.208,396272
