Name of Crops,2014-15,,2015-16,,2016-17,
,"Area
(acres)","Production
(MT)","Area
(acres)","Production
(MT)","Area
(acres)","Production
(MT)"
Gram,17468,6672,15026,6382,14615,6237
Arhar,1421,603,1331,566,1275,552
Lentil(Masur),359367,167261,381653,158228,382224,168837
Pea(Motor),18749,7385,17931,7372,17497,7191
Green gram(Mug),96076,32737,101566,36954,102311,34783
Black gram(Mashkalai),96264,33400,98006,35151,102838,39187
Kheshari,277621,120714,280415,122408,276829,119344
Other Pulses,17693,9554,22333,11190,23347,11224
Total,884659,378326,918261,378251,920936,387355
