Zila/Division,,2015-16,,,,,2016-17,,,,
,,Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Production
(M. Ton)",Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Production
(M. Ton)"
1,Bandarban,5437,2200,25.70,2.371,5216,5710,2311,27.10,2.500,5776
2,Chattagram,60503,24484,29.40,2.712,66397,63175,25566,31.60,2.915,74518
3,Cox's Bazar,1560,631,26.51,2.445,1544,2780,1125,26.62,2.455,2762
4,Cumilla,158758,64246,26.77,2.469,158639,151919,61478,25.50,2.352,144604
5,Chandpur,23685,9585,26.60,2.454,23517,23244,9406,27.60,2.546,23947
6,Brahmanbaria,13917,5632,22.80,2.103,11844,16743,6776,24.60,2.269,15374
7,Khagrachari,3603,1458,24.00,2.214,3228,2901,1174,27.00,2.490,2924
8,Noakhali,51565,20867,23.12,2.133,44501,48433,19600,23.63,2.180,42720
9,Lakshmipur,38996,15781,23.07,2.128,33581,43101,17442,22.01,2.030,35411
10,Feni,13633,5517,27.81,2.565,14152,13217,5349,24.10,2.223,11890
11,Rangamati,1795,726,27.30,2.518,1829,2410,975,22.30,2.057,2006
1,"Chattagram
Division",373452,151128,26.14,2.412,364449,373633,151201,25.95,2.394,361932
12,Sylhet,99647,40325,31.44,2.900,116943,104412,42253,28.00,2.583,109128
13,Maulavibazar,88284,35727,30.30,2.795,99851,99543,40283,30.30,2.795,112585
14,Sunamgonj,11149,4512,28.60,2.638,11902,13115,5307,27.60,2.546,13512
15,Hobigonj,102723,41570,25.00,2.306,95859,95852,38789,25.70,2.371,91952
2,"Sylhet
Division",301803,122133,28.81,2.657,324556,312922,126633,28.01,2.584,327177
16,Dhaka,1418,574,25.30,2.334,1339,1423,576,24.60,2.269,1307
17,Gazipur,2921,1182,23.00,2.122,2508,3036,1229,26.30,2.426,2980
18,Manikgonj,1641,664,25.75,2.375,1577,1252,507,25.30,2.334,1182
19,Munsigonj,813,329,29.79,2.748,904,321,130,26.00,2.398,312
20,Narayangonj,374,151,23.30,2.149,325,320,129,24.00,2.214,287
21,Narsingdi,342,138,16.10,1.485,206,698,282,21.70,2.002,565
22,Faridpur,2331,943,23.31,2.150,2028,2459,995,21.00,1.937,1928
23,Rajbari,393,159,29.31,2.704,430,174,70,26.60,2.454,173
24,Madaripur,626,253,22.10,2.038,516,499,202,22.99,2.121,428
25,Gopalgonj *,0,0,0.00,0.000,0,897,363,27.22,2.511,911
26,Shariatpur,4196,1698,24.01,2.215,3761,4308,1743,20.72,1.911,3332
27,Kishoregonj,57807,23393,22.20,2.048,47903,52409,21209,23.30,2.149,45582
28,Tangail,239,97,18.60,1.716,166,242,98,22.90,2.112,207
3,"Dhaka
Division",73101,29582,22.60,2.084,61663,68038,27533,23.31,2.150,59193
29,Jamalpur,3285,1329,20.20,1.863,2477,3575,1447,21.00,1.937,2802
30,Sherpur,4469,1809,23.80,2.195,3970,4460,1805,24.20,2.232,4029
31,Netrokona,411,166,15.60,1.439,239,305,123,22.60,2.085,257
32,Mymenshing,57548,23288,26.60,2.454,57140,51764,20948,26.80,2.472,51783
4,"Mymenshing
Division",65713,26593,26.02,2.400,63826,60104,24323,26.24,2.420,58872
