Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.Tons
)",,
,,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17
37,Magura,-,0,0,-,0,0,633,848,894,633,848,894
38,Meherpur,-,0,0,-,0,0,199,239,240,199,239,240
39,Narail,21,0,0,-,0,0,1054,1124,1187,1054,1124,1187
40,Satkhira,106,0,0,-,0,0,821,896,986,821,896,986
4,Khulna,668,74,22,109,101,126,9362,9439,9967,9471,9540,10093
41,Jamalpur,0,0,0,0,0,0,253,265,285,253,265,285
42,Mymensing,10,0,0,0,0,0,959,962,924,959,962,924
43,Netrakona,0,0,0,0,0,0,136,129,158,136,129,158
44,Sherpur,0,0,0,0,0,0,77,86,90,77,86,90
5,Mymensing,10,0,0,0,0,0,1425,1442,1457,1425,1442,1457
45,Bogura,1,0,0,-,0,0,524,577,908,524,577,908
46,Joypurhat,1,0,0,-,0,0,267,198,204,267,198,204
47,Naogaon,-,0,0,-,0,0,234,256,238,234,256,238
48,Natore,45,0,0,-,0,0,546,562,567,546,562,567
49,Chapai Nawabganj,2,0,0,-,0,0,100,103,110,100,103,110
50,Pabna,-,0,0,-,0,0,240,242,196,240,242,196
51,Rajshahi,12,0,0,-,0,0,342,396,388,342,396,388
52,Sirajganj,-,0,0,-,0,0,190,209,204,190,209,204
6,Rajshahi,61,0,0,-,0,0,2443,2543,2815,2443,2543,2815
53,Dinajpur,-,0,0,-,0,0,302,303,320,302,303,320
54,Gaibandha,-,0,0,-,0,0,46,76,82,46,76,82
55,Kurigram,1,0,0,-,0,0,29,45,52,29,45,52
56,Lalmonirhat,-,0,0,-,0,0,-,2,3,-,2,3
57,Nilphamari,-,0,0,-,0,0,121,137,140,121,137,140
58,Panchagarh,-,0,0,-,0,0,217,228,224,217,228,224
59,Rangpur,-,0,0,-,0,0,10,17,28,10,17,28
60,Thakurgaon,-,0,0,-,0,0,190,143,97,190,143,97
7,Rangpur,1,0,0,-,0,0,915,951,946,915,951,946
61,Habiganj,-,0,0,-,0,0,2,91,114,2,91,114
62,Maulvibazar,-,0,0,-,0,0,329,564,877,329,564,877
63,Sunamganj,-,0,0,-,0,0,79,111,118,79,111,118
64,Sylhet,-,5,0,-,2,0,-,66,40,-,68,40
8,Sylhet,-,5,0,-,2,0,410,832,1149,410,834,1149
,BANGLADESH,1027,195,247,1512,906,2548,30682,35265,36906,32194,36171,39454
