Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside &
Outside Garden (M.Tons )",,
,,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17
1,Barguna,0,0,0,0,0,0,3107,2380,1245,3107,2380,1245
2,Barishal,0,0,0,0,64,0,2622,2480,1443,2622,2544,1443
3,Bhola,0,0,0,0,0,0,-,0,0,-,0,0
4,Jhallokati,0,0,0,0,0,0,593,592,592,593,592,592
5,Patuakhali,0,0,0,0,0,0,5983,5500,2260,5983,5500,2260
6,Pirojpur,0,0,0,0,0,0,5265,5285,4677,5265,5285,4677
1,Barishal,0,0,0,0,64,0,17570,16237,10217,17570,16301,10217
7,Bandarban,0,0,0,0,0,0,0,0,0,0,0,0
8,Brahmanbaria,0,0,0,0,0,0,0,0,0,0,0,0
9,Chandpur,0,0,0,0,0,0,0,0,0,0,0,0
10,Chittagang,0,0,0,0,0,0,0,0,0,0,0,0
11,Cumilla,0,0,0,0,0,0,0,0,0,0,0,0
12,Cox's Bazar,0,0,0,0,0,0,0,0,0,0,0,0
13,Feni,0,0,0,0,0,0,0,0,0,0,0,0
14,Khagrachhari,0,0,0,0,0,0,0,0,0,0,0,0
15,Laksmipur,0,0,0,0,0,0,0,0,0,0,0,0
16,Noakhali,0,0,0,0,0,0,0,0,0,0,0,0
17,Rangamati,-,1,1,-,3,4,3,5,0,3,8,4
2,Chittagang,-,1,1,-,3,4,3,5,6,3,8,10
18,Dhaka,59,0,0,50,0,0,140,190,199,190,190,199
19,Faridpur,44,21,19,82,82,85,2136,2133,2055,2218,2215,2140
20,Gazipur,-,0,0,-,0,0,836,10,867,836,10,867
21,Gopalganj,94,15,94,604,575,1407,10546,10475,12767,11150,11050,14174
22,Kishorganj,0,0,0,0,0,0,106,108,111,106,108,111
23,Madaripur,0,0,0,0,0,0,19305,11561,11785,19305,11561,11785
24,Manikganj,0,0,0,0,0,0,177,191,209,177,191,209
25,Munshiganj,0,0,0,0,0,0,15,17,21,15,17,21
26,Narayanganj,0,0,0,0,0,0,62,68,45,62,68,45
27,Narsingdi,0,0,0,0,0,0,257,271,0,257,271,0
28,Rajbari,0,0,0,0,0,0,677,438,736,677,438,736
29,Shariatpur,-,4,7,-,22,11,670,690,1224,670,712,1235
30,Tangail,-,0,0,-,0,0,0,0,0,0,0,0
3,Dhaka,197,40,120,736,679,1503,34927,26152,30019,35663,26831,31522
31,Bagerhat,20,11,5,410,54,23,5163,5199,4659,5573,5253,4682
32,Chuadanga,-,0,0,-,10,8,1258,1037,910,1258,1047,918
33,Jashore,10,10,9,-,99,83,2381,2568,2540,2381,2667,2623
34,Jhenaidah,-,0,20,-,405,329,2942,2411,2045,2942,2816,2374
35,Khulna,0,0,0,0,0,0,1657,1551,1427,1657,1551,1427
36,Kushtia,-,0,1,60,40,30,632,677,647,692,717,687
,,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17
37,Magura,0,0,0,0,0,0,2270,2734,2706,2270,2734,2706
38,Meherpur,0,0,0,0,0,0,313,321,320,313,321,320
39,Narail,109,29,29,2102,1080,1102,9945,12710,13217,12047,13790,14319
40,Satkhira,8,7,7,210,138,125,7138,6029,5863,7348,6167,5988
4,Khulna,147,57,71,2782,1826,1700,33699,35237,34334,36481,37063,36034
41,Jamalpur,0,0,0,0,0,0,17,9,0,17,9,0
42,Mymensing,0,0,0,0,0,0,-,0,0,-,0,0
43,Netrakona,0,0,0,0,0,0,3,5,5,3,5,5
44,Sherpur,0,0,0,0,0,0,24,29,32,24,29,32
5,Mymensing,0,0,0,0,0,0,27,43,37,27,43,37
45,Bogura,0,0,0,0,0,0,489,485,557,489,485,557
46,Joypurhat,0,0,0,0,0,0,120,176,172,120,176,172
47,Naogaon,5,5,4,160,422,489,2511,2041,1933,2671,2463,2422
48,Natore,0,0,0,0,0,0,2852,2652,2855,2852,2652,2855
49,Chapai Nawabganj,0,0,0,0,0,0,512,502,515,512,502,515
50,Pabna,0,0,0,0,0,0,428,412,581,428,412,581
51,Rajshahi,0,0,0,0,0,0,5391,4986,4328,5391,4986,4328
52,Sirajganj,0,0,0,0,0,0,16,27,24,16,27,24
6,Rajshahi,5,5,4,160,422,489,12319,11281,10965,12479,11703,11454
53,Dinajpur,0,0,0,0,0,0,157,160,172,157,160,172
54,Gaibandha,0,0,0,0,0,0,25,91,94,25,91,94
55,Kurigram,0,0,0,0,0,0,10,8,8,10,8,8
56,Lalmonirhat,0,0,0,0,0,0,56,0,0,56,0,0
57,Nilphamari,0,0,0,0,0,0,7,7,9,7,7,9
58,Panchagarh,0,0,0,0,0,0,2,2,2,2,2,2
59,Rangpur,0,0,0,0,0,0,79,86,126,79,86,126
60,Thakurgaon,0,0,0,0,0,0,15,14,17,15,14,17
7,Rangpur,0,0,0,0,0,0,351,368,428,351,368,428
61,Habiganj,0,0,0,0,0,0,-,0,0,-,0,0
62,Maulvibazar,0,0,0,0,0,0,19,0,19,19,0,19
63,Sunamganj,0,0,0,0,0,0,-,0,0,-,0,0
64,Sylhet,0,0,0,0,0,0,-,0,0,-,0,0
8,Sylhet,0,0,0,0,0,0,19,0,19,19,0,19
,BANGLADESH,349,103,196,3678,2994,3696,98932,89323,86025,102610,92317,89721
