"Sl.
No.",Species,,,,,,,,,,,,,,,,,,,"Other
River",Total,%
,,,Lower,,,Upper,,,Lower,,,Upper,,,,,,Brahma,,,,
,,,,,,,,,,,,,,,Jamuna,,,,,,,
,,,Meghna,,,Meghna,,,Padma,,,Padma,,,,,,Putra,,,,
1,Rui,27,,,130,,,126,,,144,,,103,,,19,,,1484,2033,0.75
2,Catla,17,,,70,,,69,,,99,,,76,,,14,,,914,1259,0.46
3,Mrigal,13,,,61,,,54,,,39,,,66,,,7,,,628,868,0.32
4,Kalibaus,0,,,15,,,33,,,28,,,21,,,5,,,281,383,0.14
5,Bata,481,,,47,,,0,,,0,,,4,,,0,,,199,731,0.27
6,Ghonia,0,,,8,,,0,,,0,,,0,,,0,,,13,21,0.01
7,Pangas,119,,,28,,,32,,,122,,,0,,,0,,,138,439,0.16
8,Boal/Air,92,,,77,,,141,,,137,,,163,,,62,,,941,1613,0.59
9,Shol/Gazar/Taki,0,,,0,,,0,,,0,,,0,,,0,,,582,582,0.21
10,Koi,0,,,0,,,0,,,0,,,0,,,0,,,78,78,0.03
11,Shingi/Magur,0,,,0,,,0,,,0,,,0,,,0,,,78,78,0.03
12,Sarpunti,0,,,0,,,0,,,0,,,0,,,0,,,12,12,0.00
13,"Other Inland
Fish",2454,,,3009,,,1934,,,2939,,,2793,,,446,,,23453,37028,13.63
14,Hilsa/Illish,171713,,,1540,,,3160,,,351,,,330,,,82,,,40124,217300,80.00
15,Galda,129,,,68,,,17,,,11,,,9,,,4,,,189,427,0.16
16,Bagda,0,,,0,,,0,,,0,,,0,,,0,,,20,20,0.01
17,Harina,0,,,0,,,0,,,0,,,0,,,0,,,2391,2391,0.88
18,Chaka,0,,,0,,,0,,,0,,,0,,,0,,,11,11,0.00
19,"Other small
shrimp/prawn",273,,,192,,,294,,,124,,,229,,,62,,,5191,6365,0.00
Total,,175318,,,5245,,,5861,,,3994,,,3794,,,701,,,76727,271639,100.00
