ila/Division,,2014-15,,2015-16,,2016-17,
,,"Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)"
37,Magura,35,86,32,82,38,86
38,Meherpur,7355,23440,9043,35024,18726,82783
39,Narail,0,0,0,0,0,0
40,Satkhira,141,317,354,997,189,560
4,Khulna,166450,579888,164356,602042,190005,719184
41,Jamalpur,12136,37148,17439,66007,18304,74947
42,Mymensing,627,1476,525,1270,889,2701
43,Netrakona,22,45,51,111,0,0
44,Sherpur,1502,3422,1488,3332,1013,2122
5,Mymensing,14287,42091,19503,70720,20206,79770
45,Bogura,17617,43423,16534,40845,15102,37598
46,Joypurhat,527,1469,479,1426,668,1976
47,Naogaon,9882,19833,3492,11296,15287,56386
48,Natore,2525,4285,3145,4980,3431,6598
49,Chapai Nawabganj,11976,27232,12775,34233,12437,38742
50,Pabna,1219,1804,1344,4183,1663,3328
51,Rajshahi,11289,29072,12199,33814,12960,36509
52,Sirajganj,18831,47492,18840,50397,23165,77716
6,Rajshahi,73866,174610,68808,181174,84713,258853
53,Dinajpur,135012,431228,148208,467978,150431,485048
54,Gaibandha,21431,60125,24314,69009,26782,83784
55,Kurigram,3379,8843,5233,16359,16996,47209
56,Lalmonirhat,50541,150665,53140,165531,56120,166182
57,Nilphamari,30910,88208,34667,104147,40227,138070
58,Panchagarh,19983,52795,28963,86880,43785,173526
59,Rangpur,31130,84738,33947,92004,36701,110896
60,Thakurgaon,48917,120727,44080,121220,51216,174198
7,Rangpur,341303,997329,372552,1123128,422258,1378913
61,Habiganj,0,0,0,0,15,27
62,Maulvibazar,0,0,0,0,8,16
63,Sunamganj,30,75,39,101,0,0
64,Sylhet,0,0,0,0,29,47
8,Sylhet,30,75,39,101,52,90
,BANGLADESH,661928,1961527,698728,2161348,816986,2686832
