Zila/Division,,2015-16,,,,,2016-17,,,,
,,Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Production
(M. Ton)",Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Production
(M. Ton)"
1,Bandarban,0,0,0.00,0.000,0,0,0,0.00,0.000,0
2,Chattagram,0,0,0.00,0.000,0,0,0,0.00,0.000,0
3,Cox's Bazar,273,110,24.20,2.232,247,266,108,24.38,2.249,242
4,Cumilla,90,36,15.10,1.393,51,98,40,17.79,1.641,65
5,Chandpur,2263,916,22.15,2.043,1871,883,357,17.45,1.610,575
6,Brahmanbaria,481,195,18.20,1.679,327,283,115,22.15,2.043,234
7,Khagrachari,0,0,0.00,0.000,0,0,0,0.00,0.000,0
8,Noakhali,0,0,0.00,0.000,0,0,0,0.00,0.000,0
9,Lakshmipur,0,0,0.00,0.000,0,0,0,0.00,0.000,0
10,Feni,0,0,0.00,0.000,0,0,0,0.00,0.000,0
11,Rangamati,0,0,0.00,0.000,0,0,0,0.00,0.000,0
1,"Chattagram
Division",3107,1257,21.51,1.984,2495,1530,619,19.55,1.803,1116
12,Sylhet,23078,9339,20.30,1.872,17487,17124,6930,20.97,1.934,13404
13,Maulavibazar,1858,752,18.90,1.743,1311,2198,889,19.90,1.836,1633
14,Sunamgonj,19927,8064,22.90,2.112,17034,4194,1697,20.92,1.930,3275
15,Hobigonj,72,29,20.30,1.872,55,107,43,22.03,2.032,88
2,"Sylhet
Division",44935,18184,21.40,1.973,35886,23623,9560,20.87,1.925,18400
16,Dhaka,465,188,22.10,2.038,384,668,270,19.18,1.769,478
17,Gazipur,574,232,23.30,2.149,499,407,165,23.44,2.162,356
18,Manikgonj,2553,1033,17.50,1.614,1668,1914,775,23.31,2.150,1665
19,Munsigonj,644,261,14.67,1.353,353,649,263,13.92,1.284,337
20,Narayangonj,598,242,18.90,1.743,422,592,240,21.38,1.972,472
21,Narsingdi,617,250,25.40,2.343,585,597,242,25.40,2.343,566
22,Faridpur,3778,1529,17.68,1.631,2493,3659,1481,18.05,1.665,2465
23,Rajbari,729,295,18.14,1.673,494,700,283,18.46,1.703,482
24,Madaripur,3430,1388,19.02,1.754,2435,1790,724,19.20,1.771,1283
25,Gopalgonj,169,68,23.04,2.125,145,166,67,23.30,2.149,144
26,Shariatpur,6326,2560,19.67,1.814,4645,6572,2660,22.21,2.049,5448
27,Kishoregonj,863,349,18.35,1.693,591,548,222,19.42,1.791,397
28,Tangail,2342,948,15.57,1.436,1361,2116,856,20.93,1.931,1653
3,"Dhaka
Division",23088,9343,18.65,1.720,16074,20378,8247,20.70,1.910,15749
29,Jamalpur,1688,683,20.60,1.900,1298,1496,605,21.08,1.944,1177
30,Sherpur,242,98,22.80,2.103,206,205,83,23.39,2.157,179
31,Netrokona,1347,545,24.62,2.271,1238,877,355,23.40,2.158,766
32,Mymensingh,450,182,21.49,1.982,361,442,179,21.52,1.985,355
4,"Mymensingh
Division",3727,1508,22.30,2.057,3103,3020,1222,21.97,2.027,2477
