ila/Division,,2014-15,,2015-16,,2016-17,
,,"Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)","Area
(acres)","Production
(M. Ton)"
37,Magura,0,0,0,0,0,0
38,Meherpur,0,0,0,0,0,0
39,Narail,0,0,0,0,0,0
40,Satkhira,0,0,0,0,0,0
4,Khulna,0,0,0,0,0,0
41,Jamalpur,434,119,394,124,368,141
42,Mymensing,0,0,0,0,0,0
43,Netrakona,0,0,0,0,0,0
44,Sherpur,0,0,0,0,0,0
5,Mymensing,434,119,394,124,368,141
45,Bogura,238,99,218,90,111,46
46,Joypurhat,0,0,0,0,0,0
47,Naogaon,0,0,0,0,0,0
48,Natore,0,0,0,0,0,0
49,Chapai Nawabganj,43,15,42,11,50,16
50,Pabna,0,0,0,0,0,0
51,Rajshahi,18,6,0,0,0,0
52,Sirajganj,26,11,26,11,43,17
6,Rajshahi,325,131,286,112,204,79
53,Dinajpur,24,8,23,7,19,5
54,Gaibandha,383,203,393,206,219,119
55,Kurigram,993,950,1098,496,1110,504
56,Lalmonirhat,16,8,12,5,14,7
57,Nilphamari,27,14,24,12,21,11
58,Panchagarh,21,6,23,8,25,9
59,Rangpur,29,12,28,13,26,7
60,Thakurgaon,125,43,128,34,128,34
7,Rangpur,1618,1244,1729,781,1562,696
61,Habiganj,0,0,0,0,0,0
62,Maulvibazar,0,0,0,0,0,0
63,Sunamganj,0,0,0,0,0,0
64,Sylhet,0,0,0,0,0,0
8,Sylhet,0,0,0,0,0,0
,BANGLADESH,2911,1738,2920,1229,2627,1054
