"Name of
Distict/Division",September,,,,October,,,
,Without food,,With food,,Without food,,With food,
,Male,Female,Male,Female,Male,Female,Male,Female
Jashore,230,170,216,156,226,170,214,158
Jhenaidah,228,163,215,150,247,182,232,167
Magura,260,-,250,-,257,-,243,-
Narial,270,200,258,-,236,-,224,-
Khulna,265,190,253,178,258,183,246,171
Bagerhat,285,205,275,-,288,208,275,-
Satkhira,220,145,-,-,221,146,-,-
Kushita,256,-,244,-,243,-,230,-
Chuadang,199,-,189,-,208,-,196,-
Meherpur,180,145,170,135,180,150,169,139
Khulna Division,239,174,230,155,236,173,223,159
Rajshahi,234,207,220,193,240,209,228,197
Noagoan,226,191,211,176,221,187,212,178
Natore,227,180,224,177,228,181,223,176
Nawbganj,220,177,208,165,217,183,207,173
Bogura,247,-,231,-,230,-,220,-
Joypurhat,254,200,240,186,235,200,220,185
Pabna,303,237,290,224,304,238,291,225
Sirajganj,240,203,225,188,243,187,236,-
Rajshahi Division,244,199,231,187,240,198,230,189
Rangpur,232,172,218,158,240,150,230,140
Gaibanda,214,145,-,-,230,150,-,-
Kurigarm,212,145,198,131,230,155,220,145
Nilphamari,211,140,200,129,220,145,210,135
Lalmonirhat,210,145,195,130,230,160,220,150
Dinajpur,240,165,228,153,240,165,230,155
Thakurgaon,245,175,230,160,245,165,235,155
Panchagar,240,160,230,150,240,160,230,150
Rangpur Division,226,156,212,144,234,156,225,147
Bangladesh,282,208,270,196,280,210,270,198
