Zila/Division,,2015-16,,,,,2016-17,,,,
,,Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Production
(M. Ton)",Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Production
(M. Ton)"
33,Barishal,67235,27209,16.26,1.500,40801,54216,21940,17.58,1.622,35582
34,Jhalakathi,39716,16072,21.09,1.946,31272,31365,12693,21.47,1.980,25136
35,Perojpur,56384,22817,23.14,2.135,48710,45290,18328,22.39,2.065,37845
36,Bhola,188122,76129,15.91,1.468,111741,185353,75008,17.25,1.591,119328
37,Patuakhali,106453,43079,22.33,2.060,88749,79520,32180,22.31,2.058,66213
38,Barguna,104679,42361,22.75,2.098,88875,100190,40545,24.71,2.279,92403
5,"Barishal
Division",562589,227667,19.53,1.802,410147,495934,200694,20.34,1.876,376508
39,Jashore,69092,27960,30.30,2.795,78144,45692,18491,30.00,2.767,51160
40,Jhenaidah,53172,21518,31.84,2.937,63191,52591,21282,31.66,2.920,62145
41,Magura,15692,6350,22.83,2.105,13370,9125,3693,24.29,2.240,8273
42,Narail,14315,5793,15.40,1.421,8229,12273,4967,17.35,1.600,7948
43,Khulna,6833,2765,13.93,1.285,3552,7013,2838,15.41,1.422,4035
44,Bagerhat,16931,6852,24.03,2.216,15186,13526,5474,25.66,2.366,12953
45,Satkhira,20237,8189,27.10,2.500,20471,15971,6463,27.10,2.500,16156
46,Kushtia,72535,29353,26.00,2.398,70397,49332,19964,24.51,2.261,45134
47,Chuadanga,67871,27466,29.50,2.721,74737,67070,27142,30.20,2.786,75607
48,Meherpur,22180,8976,32.46,2.994,26875,22130,8956,34.90,3.219,28829
6,"Khulna
Division",358858,145222,27.93,2.576,374152,294723,119268,28.38,2.618,312240
49,Bogura,53227,21540,26.90,2.481,53446,46649,18878,27.07,2.497,47137
50,Joypurhat,116,47,23.40,2.158,101,144,58,25.00,2.306,134
51,Pabna,35083,14197,19.78,1.825,25904,35011,14168,19.79,1.826,25867
52,Sirajgonj,13775,5574,23.81,2.196,12242,9992,4044,23.65,2.181,8820
53,Rajshahi,98483,39854,30.67,2.829,112737,95938,38824,28.97,2.672,103737
54,Noagaon,127185,51469,29.20,2.693,138626,127376,51546,29.39,2.711,139738
55,Natore,12561,5083,23.16,2.137,10861,12254,4959,23.80,2.195,10885
56,Nawabgonj,121368,49115,25.49,2.351,115474,115949,46922,25.94,2.393,112269
7,"Rajshahi
Division",461798,186880,27.23,2.512,469391,443313,179399,27.11,2.500,448587
57,Dinajpur,16742,6775,25.20,2.324,15748,12869,5208,24.10,2.223,11577
58,Thakurgaon,24963,10102,27.33,2.521,25466,23488,9505,27.39,2.526,24014
59,Panchagar,470,190,23.54,2.171,413,300,121,26.51,2.445,297
60,Rangpur,33187,13430,30.20,2.786,37411,33841,13695,28.45,2.624,35938
61,Gaibandha,2595,1050,18.20,1.679,1763,2594,1050,19.10,1.762,1849
62,Kurigram,4129,1671,19.68,1.815,3033,3455,1398,23.00,2.121,2966
63,Nilphamari,922,373,16.00,1.476,551,288,117,17.00,1.568,183
64,Lalmonirhat,11664,4720,26.50,2.444,11538,3110,1259,25.80,2.380,2995
8,"Rangpur
Division",94672,38312,27.14,2.504,95923,79945,32352,26.75,2.467,79819
BANGLADESH,,2515503,1017969,24.37,2.248,2288642,2326988,941681,24.56,2.266,2133617
