Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.Tons
)",,
,,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17
1,Barguna,-,0,0,-,0,0,-,0,0,-,0,0
2,Barishal,-,0,0,-,0,0,24,0,0,24,0,0
3,Bhola,-,0,0,-,0,0,-,0,0,-,0,0
4,Jhallokati,-,0,0,-,0,0,-,0,0,-,0,0
5,Patuakhali,-,0,0,-,0,0,-,0,0,-,0,0
6,Pirojpur,-,0,0,-,0,0,-,0,0,-,0,0
1,Barishal,-,0,0,-,0,0,24,0,0,24,0,0
7,Bandarban,86,84,84,409,476,476,128,138,146,537,614,622
8,Brahmanbaria,-,0,0,-,0,0,-,0,0,-,0,0
9,Chandpur,-,0,0,-,0,0,-,0,0,-,0,0
10,Chittagang,18,18,18,-,0,0,2,1,0,2,1,0
11,Cumilla,-,0,0,-,0,0,-,0,0,-,0,0
12,Cox's Bazar,5,9,5,7,7,8,4,5,4,11,12,12
13,Feni,-,0,0,-,0,0,-,0,0,-,0,0
14,Khagrachhari,501,507,499,452,552,706,39,38,67,491,590,773
15,Laksmipur,-,0,0,-,0,0,-,0,0,-,0,0
16,Noakhali,-,0,0,-,0,0,-,0,0,-,0,0
17,Rangamati,140,120,124,874,1001,74,255,320,1204,1129,1321,1278
2,Chittagang,750,738,730,1742,2036,1264,428,502,1421,2170,2538,2685
18,Dhaka,0,0,0,0,0,0,0,0,0,0,0,0
19,Faridpur,0,0,0,0,0,0,0,0,0,0,0,0
20,Gazipur,6,7,6,4,4,0,1,1,0,5,5,0
21,Gopalganj,0,0,0,0,0,4,0,0,2,0,0,6
22,Kishorganj,0,0,0,0,0,0,0,0,0,0,0,0
23,Madaripur,0,0,0,0,0,0,0,0,0,0,0,0
24,Manikganj,0,0,0,0,0,0,0,0,0,0,0,0
25,Munshiganj,0,0,0,0,0,0,0,0,0,0,0,0
26,Narayanganj,0,0,0,0,0,0,0,0,0,0,0,0
27,Narsingdi,0,0,0,0,0,0,0,0,0,0,0,0
28,Rajbari,0,0,0,0,0,0,0,0,0,0,0,0
29,Shariatpur,0,0,0,0,0,0,0,0,0,0,0,0
30,Tangail,50,50,20,6,7,6,1,0,1,7,7,7
3,Dhaka,56,57,26,10,11,10,2,1,3,12,12,13
31,Bagerhat,-,0,0,-,0,0,-,0,0,-,0,0
32,Chuadanga,-,0,0,-,0,0,-,0,0,-,0,0
33,Jashore,-,0,0,-,0,0,-,0,0,-,0,0
34,Jhenaidah,-,0,0,-,0,0,-,0,0,-,0,0
35,Khulna,-,0,0,-,0,0,-,0,0,-,0,0
36,Kushtia,-,0,0,-,0,0,-,0,0,-,0,0
