Zila/Division,,2015-16,,,,,2016-17,,,,
,,Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Production
(M. Ton)",Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Production
(M. Ton)"
1,Bandarban,20742,8394,20.82,1.920,16116,21050,8518,18.79,1.733,14766
2,Chattagram,76969,31148,26.83,2.475,77092,78593,31805,28.66,2.643,84071
3,Cox's Bazar,1582,640,26.37,2.432,1557,2980,1206,25.95,2.393,2886
4,Cumilla,160887,65107,26.62,2.456,159886,158057,63962,25.12,2.317,148178
5,Chandpur,25199,10197,25.89,2.388,24351,24393,9871,26.98,2.489,24569
6,Brahmanbaria,17034,6893,20.86,1.924,13264,18901,7649,23.58,2.175,16639
7,Khagrachari,5996,2426,20.37,1.879,4559,5794,2345,21.06,1.942,4554
8,Noakhali,113854,46074,19.44,1.793,82632,104545,42307,18.68,1.723,72881
9,Lakshmipur,69639,28181,18.02,1.662,46849,68448,27699,18.67,1.722,47710
10,Feni,23780,9623,23.45,2.163,20818,18593,7524,21.28,1.963,14768
11,Rangamati,16494,6675,16.34,1.507,10059,17110,6924,16.29,1.502,10401
1,"Chattagram
Division",532176,215360,23.01,2.123,457184,518464,209811,22.81,2.104,441424
12,Sylhet,116049,46962,29.00,2.675,125637,115626,46791,26.86,2.477,115909
13,Maulavibazar,92268,37339,29.79,2.748,102602,99968,40455,30.24,2.789,112836
14,Sunamgonj,12399,5018,27.44,2.531,12700,14042,5682,26.91,2.482,14107
15,Hobigonj,103803,42007,24.87,2.294,96347,96846,39191,25.59,2.360,92498
2,"Sylhet
Division",324519,131326,27.84,2.568,337286,326482,132120,27.52,2.538,335350
16,Dhaka,1617,654,23.71,2.187,1431,1618,655,23.30,2.149,1407
17,Gazipur,2921,1182,23.00,2.122,2508,3036,1229,26.30,2.426,2980
18,Manikgonj,2039,825,22.51,2.076,1713,1452,588,23.07,2.128,1251
19,Munsigonj,949,384,26.95,2.486,955,331,134,25.68,2.369,317
20,Narayangonj,378,153,23.20,2.140,327,323,131,23.89,2.204,288
21,Narsingdi,342,138,16.10,1.485,206,698,282,21.70,2.002,565
22,Faridpur,12558,5082,14.10,1.301,6609,13555,5485,15.60,1.439,7892
23,Rajbari,393,159,29.31,2.704,430,2513,1017,14.50,1.337,1360
24,Madaripur,3486,1411,14.74,1.360,1918,3707,1500,19.28,1.778,2667
25,Gopalgonj,3435,1390,9.31,0.859,1194,4197,1698,17.14,1.581,2685
26,Shariatpur,21721,8790,14.40,1.328,11676,19330,7822,15.26,1.408,11014
27,Kishoregonj,58911,23840,22.09,2.038,48583,52868,21395,23.25,2.145,45890
28,"Tangail
Region",2993,1211,11.48,1.059,1282,2680,1085,15.44,1.424,1545
3,"Dhaka
Division",111743,45220,18.90,1.743,78832,106308,43021,20.13,1.856,79862
29,Jamalpur,4988,2019,18.22,1.681,3392,4589,1857,19.54,1.803,3347
30,Sherpur,5951,2408,21.41,1.975,4756,4978,2014,23.15,2.135,4301
31,Netrokona,661,267,17.80,1.642,439,488,197,21.66,1.998,395
32,Mymenshing,57548,23288,26.60,2.454,57140,51764,20948,26.80,2.472,51783
4,"Mymenshing
Division",69148,27983,25.46,2.349,65727,61819,25017,25.93,2.391,59827
