Name of Distict/Division,September,,,,October,,,
,Without food,,With food,,Without food,,With food,
,Male,Female,Male,Female,Male,Female,Male,Female
Bandarban,356,251,320,225,356,256,300,251
Khagrachhari,306,242,262,210,310,209,-,-
Rangamati,359,245,325,216,357,240,330,215
Chattagram,420,324,402,300,412,350,330,313
Coxs Bazar,430,320,404,290,430,350,412,320
Cumilla,320,268,291,240,314,253,307,220
Chandpur,303,240,300,-,306,240,300,-
Brahmmanbaria,390,268,372,230,324,255,311,248
Noakhali,350,-,329,-,360,-,330,-
Lakshmipur,320,170,295,150,320,170,290,150
Feni,335,-,315,-,348,-,320,-
Chattagram Division,354,259,329,233,349,258,323,245
"Sylhet
DivisionmDivision",302,250,287,227,304,250,277,210
Maulavi Bazar,305,244,285,220,289,235,270,215
Sunamganj,304,214,275,186,292,234,270,210
Habiganj,301,227,295,208,293,240,278,220
Sylhet Division,303,234,286,210,295,240,274,214
Dhaka,372,325,340,280,378,310,357,280
Gagipur,398,318,368,300,398,326,372,305
Manikganj,346,265,320,230,336,260,315,230
Munshiganj,326,-,300,-,322,-,316,-
Narayanganj,340,267,300,245,336,275,300,260
Narsindhi,365,250,342,220,354,288,320,255
Faridpur,350,-,320,-,338,-,315,-
Rajbari,350,255,330,-,360,255,313,-
Madaripur,300,250,283,220,300,250,280,220
Gopalganj,291,261,289,240,287,266,265,245
Sariatpur,307,206,285,190,308,197,280,170
Mymensingh,325,247,306,225,323,247,311,213
Jamalpur,314,-,296,-,305,-,290,192
Sherpur,337,256,303,-,342,250,331,-
Tangail,305,250,282,230,317,250,282,-
Kishoerganj,-,-,273,-,-,-,289,-
Natrokona,309,285,286,-,310,285,291,-
Dhaka Division,333,264,307,238,332,266,307,237
Barishal,328,-,316,-,329,-,318,-
Jhalokathi,400,-,378,-,407,-,380,-
Perojpur,346,225,339,208,336,218,315,208
Bhola,348,-,335,-,340,-,315,208
Patuakhali,340,-,334,-,340,-,330,-
Barguna,346,-,320,-,350,-,320,-
Barishal Division,351,225,337,208,350,218,330,208
