Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.Tons
)",,
,,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17
37,Magura,-,0,0,-,0,0,299,314,330,299,314,330
38,Meherpur,-,0,0,-,0,0,7,2,3,7,2,3
39,Narail,-,0,0,-,0,0,-,0,0,-,0,0
40,Satkhira,-,0,0,-,0,0,326,276,330,326,276,330
4,Khulna,-,0,0,-,0,0,2347,2481,2481,2347,2481,2481
41,Jamalpur,0,0,0,0,0,0,14,12,12,14,12,12
42,Mymensing,0,9,0,0,0,0,193,354,284,193,354,284
43,Netrakona,0,0,0,0,0,0,115,135,23,115,135,23
44,Sherpur,0,0,0,0,0,0,34,246,0,34,246,0
5,Mymensing,0,9,0,0,0,0,356,747,319,356,747,319
45,Bogura,-,0,0,-,0,0,332,329,330,332,329,330
46,Joypurhat,-,0,0,-,0,0,99,56,460,99,56,460
47,Naogaon,-,0,0,-,0,0,75,1339,1230,75,1339,1230
48,Natore,-,0,0,-,0,0,52,51,51,52,51,51
49,Chapai Nawabganj,-,0,0,-,0,0,8,8,8,8,8,8
50,Pabna,-,0,0,-,0,0,130,97,83,130,97,83
51,Rajshahi,-,0,0,-,0,0,-,0,6,-,0,6
52,Sirajganj,-,0,0,-,0,0,45,46,49,45,46,49
6,Rajshahi,-,0,0,-,0,0,741,1926,2217,741,1926,2217
53,Dinajpur,-,0,0,-,0,0,44,50,61,44,50,61
54,Gaibandha,-,0,0,-,0,0,15,15,16,15,15,16
55,Kurigram,-,0,0,-,0,0,112,80,85,112,80,85
56,Lalmonirhat,-,0,0,-,0,0,208,105,88,208,105,88
57,Nilphamari,-,0,0,-,0,0,118,118,94,118,118,94
58,Panchagarh,-,0,0,-,0,0,102,36,35,102,36,35
59,Rangpur,-,0,0,-,0,0,171,21,24,171,21,24
60,Thakurgaon,-,0,0,-,0,0,43,60,58,43,60,58
7,Rangpur,-,0,0,-,0,0,813,485,461,813,485,461
61,Habiganj,-,0,0,-,0,0,-,16,74,-,16,74
62,Maulvibazar,-,0,0,-,0,0,-,149,179,-,149,179
63,Sunamganj,-,0,0,-,0,0,240,386,173,240,386,173
64,Sylhet,-,0,0,-,0,0,-,9,13,-,9,13
8,Sylhet,-,0,0,-,0,0,240,560,439,240,560,439
,BANGLADESH,108,56,79,868,78,120,20473,21021,23086,21341,21099,23206
