(Per Quintal/Taka),,,,,,,,,,,,,,,
Sl no,Name of Comodity,,Year-2016,,,,,,,,,,,,
,,,January,February,March,April,May,June,July,August,September,October,November,December,Average
209,",,",Red Spinach,"1,352","1,262","1,263","1,381","1,446","1,516","1,672","1,839","1,861","2,241","2,060","1,603","1,625"
210,",,",Palongsak,"1,154","1,015","1,170","1,702","1,900","1,988",-,"2,801","2,700","2,763","2,313","1,523","1,912"
211,",,",Puisak,"1,314","1,182","1,236","1,136",993,945,"1,085","1,268","1,350","1,491","1,562","1,539","1,258"
212,",,",Danta,"1,355","1,497","1,248","1,061","1,096","1,068","1,206","1,409","1,459","1,847","1,871","1,620","1,395"
213,",,",Cauliflower,"1,500",972,"1,293","3,463","3,738","3,825","5,733","5,000","4,070","5,173","3,719","2,119","3,384"
214,",,",Cabbage,969,699,699,"1,622","2,694","3,825","4,256","3,829","3,212","3,273","2,973","1,710","2,480"
215,",,",Olcopy,"1,407",781,847,900,-,-,-,"3,300","2,925","2,800","3,015","1,675","1,961"
216,Vegetable :,Carrot,"1,853","1,353","1,408","1,730","2,365","3,204","4,017","4,915","6,045","5,863","5,287","3,061","3,425"
217,",,",Greenbanana,285,266,266,284,314,326,327,345,352,381,366,360,323
218,",,",Radish,754,742,"1,147","2,842","2,300","2,191","2,352","2,942","2,699","2,720","2,326","1,372","2,032"
219,Others :,Sugar Local,"4,277","4,401","4,559",-,"5,055","5,682","6,429","6,506","6,469","6,551","6,447","6,293","5,697"
220,",,",Sugar Import,"4,310","4,468","4,848","4,898","5,074","5,791","6,505","6,547","6,487","6,613","6,498","6,330","5,697"
221,Gur :,Akher Gur,"4,723","4,769","4,938","5,183","5,312","5,623","5,856","6,062","6,343","6,655","6,785","6,705","5,746"
222,",,",Khajur Gur,"6,554","6,617","6,730","6,623","6,647","6,522","6,642","6,958","7,412","7,338","7,909","8,295","7,021"
223,Salt :,Iodin,"2,020","2,110","2,167","2,341","2,546","2,663","2,693","2,767","3,050","3,151","3,131","3,103","2,645"
224,",,",Ordinary,"1,324","1,382","1,356","1,479","1,593","1,632","1,627","1,666","1,916","1,955","1,988","1,921","1,653"
Sl no,Name of Comodity,,Year-2016,,,,,,,,,,,,
,,,January,February,March,April,May,June,July,August,September,October,November,December,Average
225,Bhushi (Husk):,Masur Husk,"2,149","2,169","2,187","2,187","2,150","2,217","2,203","2,292","2,401","2,348","2,331","2,245","2,240"
226,",,",Gram,"2,680","2,709","2,729","2,734","2,723","2,732","2,787","2,880","2,914","2,994","3,061","3,018","2,830"
227,",,",Khesari,"2,623","2,651","2,668","2,673","2,672","2,655","2,731","2,816","2,815","2,897","2,911","2,916","2,752"
228,",,",Wheat,"2,418","2,408","2,363","2,390","2,389","2,438","2,499","2,523","2,501","2,507","2,441","2,359","2,436"
229,",,",Paddy Husk,825,823,830,859,887,898,949,"1,009","1,002","1,047","1,063","1,103",941
230,Firewood,Mango,488,487,488,479,481,487,487,493,488,489,489,486,487
