Crops,Area,,,,,Production,,,,
,2012-13,2013-14,2014-15,2015-16,2016-17,2012-13,2013-14,2014-15,2015-16,2016-17
CEREALS,,,,,,,,,,
Aus,36,36,32,34,32,78,84,84,82,77
Aman,98,97,97,98,125,163,164,164,170,204
Boro,302,304,307,303,284,480,486,490,484,460
Wheat,62,64,65,66,61,86,89,92,92,90
Barley/Jab,02,01,02,02,01,03,01,04,03,02
Jower,08,07,12,10,05,12,09,10,09,07
Bazra,05,04,02,02,03,08,06,05,05,04
Maize,6220,8139,8624,8876,10332,47330,64941,69480,74788,92520
Cheena & Kaon,04,04,04,04,04,05,07,07,07,05
Other Cereals,02,02,02,0.25,0.49,0.18,02,01,0.24,0.60
PULSES,,,,,,,,,,
Gram,07,06,06,06,05,08,07,08,08,08
Arhar,07,08,08,08,07,08,11,11,10,10
Masur,39,53,62,66,86,57,96,102,96,29
Motor,26,33,33,32,31,38,47,49,49,48
Mung,59,65,65,68,69,71,90,94,105,99
Mashkalai,43,48,52,53,56,48,57,61,64,56
Khesari,43,46,46,46,46,56,60,66,67,65
Gari Kalai,02,03,638,-,-,03,06,7128,-,-
Other Pulses,28,31,07,38,41,41,51,11,51,75
OIL SEEDS,,,,,,,,,,
Til,40,44,45,44,44,67,74,77,74,74
Rape & Mastard,77,76,84,83,87,92,104,126,125,127
Ground nut,102,105,113,110,141,157,178,179,178,208
Linseed,14,13,10,10,08,16,17,13,13,11
Castor,,-,-,-,-,,-,-,-,-
Coconut,08,08,12,12,13,439,410,462,460,492
Soyabean,,-,,-,-,,-,-,-,-
Other Oil Seeds,55,197,224,220,233,120,530,660,658,598
"SPICES &
CONDIMENTS",,,,,,,,,,
Chillies,130,125,128,126,143,228,246,275,270,306
Onion,394,443,498,495,545,830,986,1211,1200,1327
Garlic,344,416,449,445,222,561,782,866,860,1066
Turmeric,159,164,164,164,169,359,464,441,440,488
Ginger,143,152,164,162,144,174,194,210,210,196
Coriander,249,210,379,375,393,390,578,694,693,689
