Name of Distict/Division,July,,,,August,,,
,Without food,,With food,,Without food,,With food,
,Male,Female,Male,Female,Male,Female,Male,Female
Bandarban,360,260,325,250,354,255,300,200
Khagrachhari,300,245,260,200,299,211,238,205
Rangamati,380,250,360,215,361,245,275,200
Chattagram,400,320,380,303,412,316,397,296
Coxs Bazar,395,300,375,267,413,350,396,267
Cumilla,312,230,307,220,303,221,315,218
Chandpur,294,265,285,-,306,250,250,-
Brahmmanbaria,375,275,350,250,393,213,373,268
Noakhali,339,-,316,-,354,-,-,-
Lakshmipur,314,200,285,180,320,220,270,170
Feni,334,-,317,-,332,-,366,-
Chattagram Division,346,261,324,236,350,253,318,228
"Sylhet
DivisionmDivision",304,250,287,225,282,250,318,227
Maulavi Bazar,306,243,280,220,305,242,280,200
Sunamganj,291,231,256,229,291,223,242,195
Habiganj,300,220,292,215,249,213,299,225
Sylhet Division,300,236,279,222,282,232,285,212
Dhaka,372,290,350,275,342,280,320,300
Gagipur,375,300,332,280,391,338,355,276
Manikganj,349,280,320,260,348,263,274,215
Munshiganj,337,-,320,-,326,-,312,-
Narayanganj,350,275,320,240,332,275,275,200
Narsindhi,368,257,330,288,340,263,279,224
Faridpur,322,-,300,-,415,-,369,-
Rajbari,300,250,290,230,349,287,350,250
Madaripur,300,220,280,200,300,250,300,275
Gopalganj,300,260,270,240,285,252,314,209
Sariatpur,300,205,270,175,350,217,258,-
Mymensingh,370,270,336,253,340,225,343,265
Jamalpur,370,-,350,240,319,-,305,-
Sherpur,330,250,320,-,317,250,338,-
Tangail,365,290,330,255,329,250,286,200
Kishoerganj,360,-,325,-,-,-,276,-
Natrokona,360,300,320,-,312,285,304,-
Dhaka Division,343,265,315,245,337,264,309,241
Barishal,332,-,317,200,314,-,320,200
Jhalokathi,377,-,353,-,410,-,387,-
Perojpur,340,230,315,210,363,298,352,265
Bhola,350,-,321,-,350,-,303,-
Patuakhali,310,-,280,-,350,-,340,-
Barguna,341,-,310,-,342,-,372,-
Barishal Division,342,230,316,205,355,298,346,233
