Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.Tons",,
,,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17
1,Barguna,-,0,0,-,0,0,92,50,24,92,50,24
2,Barishal,-,0,0,-,0,0,362,415,347,362,415,347
3,Bhola,-,0,0,-,0,0,149,173,104,149,173,104
4,Jhallokati,-,0,0,-,0,0,44,43,47,44,43,47
5,Patuakhali,-,0,0,-,0,0,345,451,545,345,451,545
6,Pirojpur,-,0,0,-,0,0,187,198,215,187,198,215
1,Barishal,-,0,0,-,0,0,1179,1330,1282,1179,1330,1282
7,Bandarban,-,0,0,-,0,0,-,0,0,-,0,0
8,Brahmanbaria,-,0,0,-,0,0,13,20,20,13,20,20
9,Chandpur,-,0,0,-,0,0,147,189,170,147,189,170
10,Chittagang,-,0,0,-,0,0,177,193,189,177,193,189
11,Cumilla,-,0,0,-,0,0,118,144,264,118,144,264
12,Cox's Bazar,1,1,1,5,4,6,51,58,67,56,62,73
13,Feni,-,0,0,-,0,0,49,45,46,49,45,46
14,Khagrachhari,-,0,0,-,0,0,16,15,26,16,15,26
15,Laksmipur,-,0,0,-,0,0,37,38,38,37,38,38
16,Noakhali,-,0,0,-,0,0,346,391,271,346,391,271
17,Rangamati,6,7,7,48,52,55,292,301,326,340,353,381
2,Chittagang,7,8,8,53,56,61,1246,1394,1417,1299,1450,1478
18,Dhaka,-,0,0,0,0,0,123,136,137,123,136,137
19,Faridpur,2,0,0,15,0,0,380,405,408,395,405,408
20,Gazipur,-,0,0,0,0,0,79,87,91,79,87,91
21,Gopalganj,-,0,0,0,0,0,513,407,534,513,407,534
22,Kishorganj,-,0,0,0,0,0,24,25,25,24,25,25
23,Madaripur,9,0,0,22,0,0,255,290,272,277,290,272
24,Manikganj,-,0,0,0,0,0,33,37,40,33,37,40
25,Munshiganj,-,0,0,0,0,0,17,22,32,17,22,32
26,Narayanganj,-,0,0,0,0,0,70,82,79,70,82,79
27,Narsingdi,-,0,0,0,0,0,99,40,64,99,40,64
28,Rajbari,-,0,0,0,0,0,205,159,161,205,159,161
29,Shariatpur,-,0,0,0,0,0,145,144,153,145,144,153
30,Tangail,-,0,0,0,0,0,31,32,33,31,32,33
3,Dhaka,11,0,0,37,0,0,1974,1866,2029,2011,1866,2029
31,Bagerhat,-,0,0,-,0,0,272,301,276,272,301,276
32,Chuadanga,-,0,0,-,0,0,45,38,35,45,38,35
33,Jashore,-,0,0,-,0,0,1058,1181,963,1058,1181,963
34,Jhenaidah,-,0,0,-,0,0,604,644,716,604,644,716
35,Khulna,-,0,0,-,0,0,582,567,578,582,567,578
36,Kushtia,-,0,0,-,0,0,482,4 3 9,404,482,439,404
