Cumilla,1271,2827,77.57,2193,3464,29.66,3835
Shlhet,14598,19186,40.66,7801,22399,32.61,27265
Manikjong,4109,12855,20.23,2601,6710,14.63,3665
Tangail,29070,41730,43.03,17958,47028,61.66,38016
Bogura,28942,15238,43.87,6685,35678,28.13,37409
Jaypurhat,208,5812,17.43,1013,1221,30.50,1390
Paban,9,205,24.00,49,58,28.43,62
Nagon,2914,4272,37.25,1591,4505,32.71,5501
Rangpur,535,3500,15.00,525,1060,29.89,1183
Gaibandaha,5001,3252,30.87,1004,6005,29.25,6556
Nilphamari,-,739,44.62,345,345,28.54,368
Bangladesh,86657,109616,38.10,41765,128422,26.13,125250
