Item,Year,"Area ‘000, Acres","Production ‘000,M. tons",Per acre Yield (kg)
Onion,2016-17,459,1866,4067
,2015-16,438,1735,3961
,2014-15,419,1704,4067
Drugs & Narcotics,2016-17,347,634,1827
,2015-16,352,647,1838
,2014-15,362,533,1472
Tea,2016-17,133,82,615
,2015-16,148,65,435
,2014-15,149,66,443
Tobacco,2016-17,113,91,763
,2015-16,115,88,763
,2014-15,127,94,740
Vegetables,2016-17,1025,4048,3949
,2015-16,992,3877,4908
,2014-15,989,3729,3770
Tomato,2016-17,68,389,5686
,2015-16,67,368,5451
,2014-15,76,414,5471
Sweet Potato,2016-17,64,263,4130
,2015-16,61,259,4219
,2014-15,62,255,4081
Sugar Crops(Temporary),2016-17,227,3862,16988
,2015-16,243,4207,17312
,2014-15,257,4434,17218
Sugar Crops(Permanent),2016-17,05,580,116
,2015-16,03,528,176
,2014-15,03,554,184
Fruits (Temporary),2016-17,193,1314,6808
,2015-16,200,1343,6715
,2014-15,200,1344,6720
Fruits (Permanent),2016-17,180,3704,2058
,2015-16,167,3466,2075
,2014-15,122,3333,2731
