Zila/Division,,2015-16,,,,,2016-17,,,,
,,Acres,Hectares,"Acre
(Maund
)","Hectare
(M. Ton)","Production
(M. Ton)",Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Production
(M. Ton)"
33,Barishal,103323,41813,27.50,2.537,106061,110602,44758,28.31,2.611,116877
34,Jhalakathi,21561,8725,27.10,2.500,21810,21549,8720,27.90,2.573,22442
35,Perojpur,11593,4691,24.40,2.251,10559,14549,5888,25.80,2.380,14011
36,Bhola,246913,99920,28.90,2.666,266360,257303,104125,29.95,2.763,287653
37,Patuakhali,110448,44696,26.70,2.463,110077,114809,46461,27.60,2.546,118280
38,Barguna,63942,25876,26.40,2.435,63011,64710,26187,26.90,2.481,64976
5,"Barishal
Division",557780,225721,27.76,2.560,577879,583522,236139,28.66,2.644,624239
39,Jashore,310272,125560,28.60,2.638,331235,300673,121676,30.61,2.823,343546
40,Jhenaidah,211514,85595,31.10,2.869,245543,218561,88447,32.66,3.013,266450
41,Magura,132151,53479,28.50,2.629,140586,139002,56251,28.90,2.666,149950
42,Narail,48143,19482,28.10,2.592,50497,52661,21311,28.54,2.633,56101
43,Khulna,169305,68514,31.70,2.924,200335,163345,66102,31.03,2.862,189197
44,Bagerhat,67009,27117,29.70,2.740,74288,65798,26627,28.99,2.674,71201
45,Satkhira,227006,91864,33.01,3.045,279711,210103,85024,32.99,3.043,258727
46,Kushtia,197358,79866,29.01,2.676,213712,201553,81564,29.90,2.758,224951
47,Chuadanga,90721,36713,30.00,2.767,101591,89774,36330,30.25,2.790,101369
48,Meherpur,60260,24386,32.72,3.018,73599,58950,23856,32.92,3.037,72439
6,"Khulna
Division",1513739,612577,30.28,2.793,1711097,1500420,607187,30.96,2.856,1733931
49,Bogura,427511,173004,29.30,2.703,467565,433527,175439,29.90,2.758,483854
50,Joypurhat,164277,66479,31.40,2.896,192546,165380,66926,31.60,2.915,195073
51,Pabna,125655,50850,31.20,2.878,146340,125579,50819,31.06,2.865,145595
52,Sirajgonj,154467,62509,30.95,2.855,178453,147482,59683,30.81,2.842,169613
53,Rajshahi,169573,68622,32.20,2.970,203817,169063,68416,32.10,2.961,202573
54,Noagaon,450818,182436,32.20,2.970,541857,445069,180110,32.95,3.039,547407
55,Natore,131474,53205,32.05,2.956,157288,139337,56387,32.85,3.030,170856
56,Nawabgonj,115744,46839,30.10,2.776,130045,118097,47791,31.17,2.875,137405
7,"Rajshahi
Division",1739519,703945,31.08,2.867,2017909,1743534,705570,31.54,2.909,2052375
57,Dinajpur,598499,242199,27.50,2.537,614361,599917,242773,27.91,2.574,624998
58,Thakurgaon,310750,125754,30.70,2.832,356104,312314,126387,30.91,2.851,360344
59,Panchagar,220855,89375,30.10,2.776,248142,223653,90507,30.49,2.812,254542
60,Rangpur,383443,155171,30.30,2.795,433681,389825,157754,30.64,2.826,445847
61,Gaibandha,250981,101567,29.30,2.703,274496,254462,102975,28.99,2.674,275358
62,Kurigram,202797,82068,27.50,2.537,208172,207513,83976,27.88,2.572,215956
63,Nilphamari,265546,107461,29.90,2.758,296373,266014,107650,30.29,2.794,300768
64,Lalmonirhat,197171,79791,29.80,2.749,219324,201748,81643,30.61,2.823,230515
8,"Rangpur
Division",2430042,983385,29.22,2.695,2650653,2455446,993665,29.55,2.726,2708328
BANGLADESH,,10254336,4149705,29.36,2.709,11239943,10310651,4172494,29.72,2.742,11439541
