Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.Tons",,
,,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17
1,Barguna,-,0,0,-,0,0,616,491,327,616,491,327
2,Barishal,-,0,0,-,0,0,1889,365,1818,1889,365,1818
3,Bhola,-,0,0,-,0,0,891,159,824,891,159,824
4,Jhallokati,-,0,0,-,0,0,1000,366,308,1000,366,308
5,Patuakhali,-,0,0,-,0,0,1217,1157,1204,1217,1157,1204
6,Pirojpur,-,0,0,-,0,0,666,528,62,666,528,62
1,Barishal,-,0,0,-,0,0,6279,3066,4543,6279,3066,4543
7,Bandarban,10,0,4,13,0,0,87,72,89,100,72,89
8,Brahmanbaria,-,0,0,-,0,0,92,143,141,92,143,141
9,Chandpur,-,0,0,-,0,0,1425,779,723,1425,779,723
10,Chittagang,-,0,0,-,0,0,576,522,528,576,522,528
11,Cumilla,-,0,0,-,0,0,539,608,492,539,608,492
12,Cox's Bazar,-,0,0,-,0,0,432,621,165,432,621,165
13,Feni,-,0,0,-,0,0,326,359,368,326,359,368
14,Khagrachhari,-,0,0,-,0,0,308,370,417,308,370,417
15,Laksmipur,-,0,0,-,0,0,336,315,359,336,315,359
16,Noakhali,-,0,0,-,0,0,754,692,766,754,692,766
17,Rangamati,38,0,37,-,78,120,1098,1083,970,1098,1161,1090
2,Chittagang,48,0,41,13,78,120,5973,5564,5018,5986,5642,5138
18,Dhaka,0,0,0,0,0,0,554,442,417,554,442,417
19,Faridpur,2,2,1,14,0,0,277,292,285,291,292,285
20,Gazipur,31,2,0,511,0,0,152,1056,571,663,1056,571
21,Gopalganj,0,0,0,0,0,0,560,449,646,560,449,646
22,Kishorganj,0,0,0,0,0,0,184,137,123,184,137,123
23,Madaripur,0,0,0,0,0,0,137,1396,1430,137,1396,1430
24,Manikganj,0,0,0,0,0,0,295,328,328,295,328,328
25,Munshiganj,0,0,0,0,0,0,200,242,252,200,242,252
26,Narayanganj,0,0,0,0,0,0,217,298,303,217,298,303
27,Narsingdi,27,43,37,330,0,0,382,1194,2370,712,1194,2370
28,Rajbari,0,0,0,0,0,0,311,336,321,311,336,321
29,Shariatpur,0,0,0,0,0,0,277,22,400,277,22,400
30,Tangail,0,0,0,0,0,0,178,0,162,178,0,162
3,Dhaka,60,47,38,855,0,0,3724,6192,7608,4579,6192,7608
31,Bagerhat,-,0,0,-,0,0,750,810,741,750,810,741
32,Chuadanga,-,0,0,-,0,0,35,45,53,35,45,53
33,Jashore,-,0,0,-,0,0,199,211,227,199,211,227
34,Jhenaidah,-,0,0,-,0,0,160,214,159,160,214,159
35,Khulna,-,0,0,-,0,0,348,318,340,348,318,340
36,Kushtia,-,0,0,-,0,0,223,291,298,223,291,298
