Zila/Division,,2015-16,,,,,2016-17,,,,
,,Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Production
(M. Ton)",Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Production
(M. Ton)"
33,Barishal,139819,56582,40.05,3.695,209042,132719,53708,41.54,3.832,205807
34,Jhalakathi,20793,8414,41.72,3.848,32379,21239,8595,41.94,3.868,33249
35,Perojpur,50359,20379,38.94,3.592,73206,48247,19525,43.01,3.967,77460
36,Bhola,135547,54853,34.94,3.223,176767,116363,47090,38.10,3.515,165500
37,Patuakhali,3910,1582,22.58,2.083,3295,2280,923,28.75,2.652,2446
38,Barguna,568,230,32.40,2.989,687,860,348,34.42,3.175,1105
5,"Barishal
Division",350996,142040,37.81,3.488,495377,321708,130188,40.44,3.730,485567
39,Jashore,385778,156116,45.28,4.177,652054,375519,151964,47.73,4.402,669014
40,Jhenaidah,212646,86053,45.32,4.180,359742,205622,83211,46.78,4.315,359082
41,Magura,91241,36923,39.77,3.669,135459,83562,33816,44.45,4.100,138638
42,Narail,90833,36758,42.24,3.896,143208,94201,38121,44.77,4.130,157436
43,Khulna,121788,49285,38.87,3.585,176698,121063,48992,44.01,4.060,198901
44,Bagerhat,122414,49538,42.90,3.957,196045,130054,52630,45.03,4.154,218606
45,Satkhira,181101,73288,41.98,3.872,283772,183426,74228,42.72,3.941,292504
46,Kushtia,89276,36128,39.95,3.685,133117,84044,34011,43.29,3.993,135811
47,Chuadanga,94216,38127,41.13,3.794,144652,86884,35160,41.88,3.863,135832
48,Meherpur,49275,19941,43.54,4.016,80086,52980,21440,43.10,3.976,85244
6,"Khulna
Division",1438568,582157,42.92,3.959,2304831,1417355,573572,45.19,4.169,2391068
49,Bogura,463912,187735,40.58,3.743,702778,458984,185741,42.02,3.876,719981
50,Joypurhat,166936,67555,46.60,4.298,290368,168101,68027,46.82,4.318,293753
51,Pabna,169677,68665,43.08,3.974,272865,149636,60554,43.22,3.987,241412
52,Sirajgonj,341322,138126,45.75,4.220,582925,340821,137923,44.51,4.106,566275
53,Rajshahi,173156,70072,44.01,4.059,284455,164865,66717,44.31,4.087,272701
54,Noagaon,495864,200665,44.64,4.117,826198,474473,192009,44.58,4.112,789518
55,Natore,132150,53478,49.12,4.531,242312,130013,52613,49.93,4.606,242318
56,Nawabgonj,118724,48045,40.08,3.697,177641,114018,46141,41.28,3.807,175669
7,"Rajshahi
Division",2061741,834341,43.91,4.051,3379541,2000911,809725,44.21,4.077,3301628
57,Dinajpur,438674,177522,44.34,4.090,726107,436172,176509,43.44,4.007,707246
58,Thakurgaon,154083,62354,42.42,3.913,243972,148177,59964,45.76,4.221,253090
59,Panchagar,98092,39696,43.36,4.000,158779,89020,36024,44.35,4.091,147361
60,Rangpur,325678,131795,47.83,4.412,581456,328152,132796,46.18,4.260,565685
61,Gaibandha,301991,122209,41.50,3.828,467756,309798,125368,41.62,3.839,481241
62,Kurigram,250551,101392,44.89,4.141,419821,264482,107030,43.40,4.003,428420
63,Nilphamari,200352,81078,47.09,4.344,352182,198696,80408,45.61,4.207,338249
64,Lalmonirhat,117915,47718,42.91,3.958,188861,118304,47875,44.67,4.121,197277
8,"Rangpur
Division",1887336,763764,44.56,4.110,3138936,1892801,765975,44.14,4.071,3118570
BANGLADESH,,11793512,4772576,43.02,3.968,18937581,11060337,4475876,43.63,4.025,18013749
