Zila/Division,,2015-16,,,,,2016-17,,,,
,,Acres,Hectares,"Acre
(Maund
)","Hectare
(M. Ton)","Production
(M. Ton)",Acres,Hectares,"Acre
(Maund
)","Hectare
(M. Ton)","Production
(M. Ton)"
33,Barishal,181237,73343,17.90,1.651,121095,180154,72904,17.95,1.656,120708
34,Jhalakathi,89367,36165,16.90,1.559,56376,92645,37491,16.95,1.563,58616
35,Perojpur,131686,53290,20.02,1.847,98408,128862,52148,20.50,1.891,98607
36,Bhola,202581,81980,16.80,1.550,127038,196120,79365,16.90,1.559,123719
37,Patuakhali,391029,158241,18.70,1.725,272947,392923,159007,18.90,1.743,277202
38,Barguna,172857,69951,16.20,1.494,104527,172290,69722,16.30,1.504,104827
5,"Barishal
Division",1168757,472970,17.89,1.650,780391,1162994,470638,18.05,1.665,783679
39,Jashore,5818,2354,19.27,1.777,4185,3239,1311,19.37,1.787,2342
40,Jhenaidah,0,0,0.00,0.000,0,0,0,0.00,0.000,0
41,Magura,1674,677,14.26,1.315,891,2421,980,16.82,1.551,1520
42,Narail,9069,3670,17.31,1.597,5860,10750,4350,17.32,1.598,6950
43,Khulna,57176,23138,19.80,1.826,42258,56855,23008,20.05,1.849,42551
44,Bagerhat,132877,53772,19.06,1.758,94537,120961,48950,19.37,1.787,87459
45,Satkhira,3825,1548,17.98,1.658,2567,4111,1664,18.02,1.662,2765
46,Kushtia,1403,568,16.70,1.540,875,1514,613,16.80,1.550,949
47,Chuadanga,469,190,12.51,1.154,219,36,15,14.06,1.297,19
48,Meherpur,287,116,16.99,1.567,182,280,113,17.13,1.580,179
6,"Khulna
Division",212598,86034,19.10,1.762,151573,200167,81003,19.37,1.787,144734
49,Bogura,16710,6762,20.30,1.872,12662,14109,5710,19.71,1.818,10380
50,Joypurhat,9767,3952,21.00,1.937,7656,9259,3747,20.01,1.846,6916
51,Pabna,1609,651,20.23,1.866,1215,1496,605,21.79,2.010,1217
52,Sirajgonj,16920,6847,18.00,1.660,11368,15158,6134,17.66,1.629,9992
53,Rajshahi,7922,3206,18.40,1.697,5441,6479,2622,18.50,1.706,4474
54,Noagaon,62746,25392,19.40,1.789,45438,58658,23738,20.20,1.863,44229
55,Natore,9409,3808,16.55,1.527,5813,9077,3673,16.98,1.566,5753
56,Nawabgonj,15247,6170,18.20,1.679,10358,11412,4618,18.59,1.715,7919
7,"Rajshahi
Division",140330,56788,19.08,1.760,99951,125648,50847,19.38,1.787,90880
57,Dinajpur,30794,12462,19.64,1.812,22575,25774,10430,19.80,1.826,19049
58,Thakurgaon,2754,1114,17.80,1.642,1830,3378,1367,17.74,1.636,2237
59,Panchagar,4872,1972,20.73,1.912,3770,3813,1543,20.80,1.919,2960
60,Rangpur,3048,1233,18.37,1.694,2090,3400,1376,19.10,1.762,2424
61,Gaibandha,30408,12305,17.92,1.653,20340,24858,10059,17.50,1.614,16238
62,Kurigram,49306,19953,19.36,1.786,35631,42336,17132,19.66,1.813,31069
63,Nilphamari,1654,669,18.21,1.680,1124,1518,614,17.77,1.639,1007
64,Lalmonirhat,718,291,20.07,1.851,538,281,114,19.45,1.794,204
8,"Rangpur
Division",123554,50000,19.06,1.758,87899,105358,42636,19.12,1.763,75188
BANGLADESH,,2746745,1111547,18.06,1.665,1851163,2675628,1082768,18.23,1.681,1820241
