Name of the crop,Loss in production (M.tons/bales) by natural calamities,,Sidre,Total
,"Flood /Excessive
Rainfal / flash Flood /
Rush of water",Cyclone/Hailstorn/Tornado/Tidal bore,,
HYV Aus,4559,-,-,4559
Total Aus,4559,-,-,4559
(LT) Aman,32914,-,-,32914
(Broad cust) Aman,21527,-,-,21527
Aman Total-,54441,-,-,54441
Boro Local,13541,-,-,13541
HYV Boro,711830,-,-,711830
HY Brid,140325,-,-,140325
Boro Total-,865696,-,-,865696
Jute,24259,-,-,24259
Aman Seed bed,-,-,-,-
Patal,1222,-,-,1222
Chalmumra,31,-,-,31
Summer Brinjal,43,-,-,43
