"Name of
stations",Jan.,Feb.,Mar.,Apr.,May,Jun.,Jul.,Aug.,Sep.,Oct.,Nov.,Dec.
Dinajpur,5,5,3,57,79,380,435,106,349,91,1,-
Rangpur,7,2,2,191,212,369,445,187,405,57,-,-
Rajshahi,6,-,6,123,17,137,314,179,178,102,101,1
Bogura,19,-,-,74,94,147,186,164,345,74,36,1
Mymensingh,18,-,1,202,85,241,409,238,221,45,19,-
Sylhet,10,-,101,659,406,1185,700,738,261,502,48,-
Srimangal,3,-,17,290,268,518,125,353,139,193,21,-
Ishurdi,12,-,5,51,69,177,215,97,978,157,86,15
Dhaka,10,1,37,269,137,175,226,282,81,38,68,5
Cumilla,16,1,13,195,209,442,282,373,178,115,102,3
Chandpur,12,12,30,194,121,279,298,452,137,128,92,2
Jashore,31,4,5,82,36,221,334,187,271,71,61,2
Faridpur,30,1,4,168,109,128,252,221,165,83,111,7
Madaripur,25,16,1,170,110,144,377,203,216,197,86,1
Khulna,66,18,1,52,63,255,391,254,374,89,80,2
Satkhira,36,14,-,94,72,199,239,314,282,95,105,8
Barishal,31,2,11,223,105,205,275,270,381,70,44,-
Bhola,6,1,8,191,96,233,323,285,191,123,35,1
Feni,2,-,28,388,138,723,568,390,274,356,18,-
M.court,6,-,44,267,286,483,431,442,322,156,29,-
Hatiya,0,-,8,267,317,538,738,501,377,244,13,2
Sitakunda,1,-,24,352,251,954,1274,567,234,256,19,1
Sandwip,-,-,52,314,226,753,1399,889,182,263,3,-
Kutubdia,-,-,37,135,251,1178,1688,527,260,554,47,-
Cox's Bazar,-,-,109,148,254,1102,1130,801,302,263,14,-
Rangamati,-,-,91,284,187,834,489,297,268,344,23,-
Teknaf,-,-,22,142,154,1431,1349,933,496,319,23,-
Patuakhali,7,2,48,80,79,287,392,439,348,142,71,-
Khepupara,9,-,49,96,128,415,639,392,562,259,69,10
sydpur,6,6,3,91,148,328,456,97,628,27,-,-
Tangail,10,-,2,106,171,246,241,204,319,75,94,1
Mongla,40,13,8,85,61,193,359,449,420,114,34,8
Chuadanga,27,-,6,74,48,125,322,143,173,132,81,7
Chattagram,-,-,30,192,188,1337,788,299,170,636,3,-
Ambagan(Ctg.),-,-,31,231,114,1268,662,300,221,445,3,-
