Zila/Division,,2015-16,,,,,2016-17,,,,
,,Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Production
(M. Ton)",Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Production
(M. Ton)"
1,Bandarban,781,316,102.77,9.479,2996,810,328,102.87,9.489,3110
2,Chattagram,7359,2978,132.68,12.238,36446,9583,3878,149.89,13.826,53617
3,Cox's Bazar,1940,785,105.72,9.752,7656,1946,788,105.82,9.761,7687
4,Cumilla,199,81,99.51,9.179,739,210,85,99.02,9.134,776
5,Chandpur,0,0,0.00,0.000,0,0,0,0.00,0.000,0
6,Brahmanbaria,1023,414,98.68,9.102,3768,684,277,98.50,9.086,2515
7,Khagrachari,980,397,99.77,9.203,3650,0,0,100.77,0.000,0
8,Noakhali,0,0,0.00,0.000,0,0,0,0.00,0.000,0
9,Lakshmipur,0,0,0.00,0.000,0,0,0,0.00,0.000,0
10,Feni,0,0,0.00,0.000,0,0,0,0.00,0.000,0
11,Rangamati *,765,310,98.04,9.043,2800,617,250,114.06,10.521,2627
1,"Chattagram
Division",13047,5280,119.21,10.996,58054,13850,5605,136.04,12.549,70332
12,Sylhet,631,255,76.84,7.088,1810,936,379,77.11,7.113,2694
13,Maulavibazar,2263,916,91.78,8.466,7753,2921,1182,91.15,8.408,9938
14,Sunamgonj,739,299,95.21,8.782,2626,964,390,85.87,7.921,3090
15,Hobigonj,2126,860,86.19,7.950,6840,2126,860,81.76,7.542,6488
2,Sylhet Division,5759,2331,88.52,8.165,19029,6947,2811,85.65,7.901,22211
16,Dhaka,24,10,39.07,3.604,35,26,11,39.89,3.679,39
17,Gazipur,176,71,95.74,8.831,629,126,51,92.64,8.545,436
18,Manikgonj,47,19,95.09,8.771,167,97,39,96.27,8.880,349
19,Munsigonj,0,0,0.00,0.000,0,0,0,0.00,0.000,0
20,Narayangonj,0,0,0.00,0.000,0,7,3,79.80,7.000,21
21,Narsingdi,1000,405,92.83,8.563,3465,1102,446,88.60,8.172,3645
22,Faridpur,0,0,0.00,0.000,0,0,0,0.00,0.000,0
23,Rajbari,0,0,0.00,0.000,0,0,0,0.00,0.000,0
24,Madaripur,0,0,0.00,0.000,0,0,0,0.00,0.000,0
25,Gopalgonj,0,0,0.00,0.000,0,0,0,0.00,0.000,0
26,Shariatpur,0,0,0.00,0.000,0,0,0,0.00,0.000,0
27,Kishoregonj,3396,1374,86.38,7.968,10950,3428,1387,83.72,7.722,10713
28,Tangail,3719,1505,98.81,9.114,13717,3668,1484,100.52,9.272,13763
3,Dhaka Division,8362,3384,92.79,8.559,28963,8454,3421,91.78,8.466,28964
29,Jamalpur,1643,665,101.71,9.382,6238,1554,629,104.95,9.681,6088
30,Sherpur,1645,666,105.54,9.735,6481,1426,577,98.79,9.112,5258
31,Netrokona,2615,1058,73.83,6.810,7207,3273,1325,77.58,7.156,9478
32,Mymensingh,6482,2623,93.02,8.580,22507,7609,3079,101.63,9.374,28865
4,"Mymensingh
Division",12385,5012,91.78,8.466,42432,13862,5610,96.03,8.858,49690
,,Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Production
(M. Ton)",Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Production
(M. Ton)"
33,Barishal,0,0,0.00,0.000,0,0,0,0.00,0.000,0
34,Jhalakathi,0,0,0.00,0.000,0,0,0,0.00,0.000,0
35,Perojpur,0,0,0.00,0.000,0,0,0,0.00,0.000,0
36,Bhola,0,0,0.00,0.000,0,0,0,0.00,0.000,0
37,Patuakhali,0,0,0.00,0.000,0,0,0,0.00,0.000,0
38,Barguna,0,0,0.00,0.000,0,0,0,0.00,0.000,0
5,Barishal Division,0,0,0.00,0.000,0,0,0,0.00,0.000,0
39,Jashore,0,0,0.00,0.000,0,0,0,0.00,0.000,0
40,Jhenaidah,0,0,0.00,0.000,0,0,0,0.00,0.000,0
41,Magura,0,0,0.00,0.000,0,0,0,0.00,0.000,0
42,Narail,0,0,0.00,0.000,0,0,0,0.00,0.000,0
43,Khulna,0,0,0.00,0.000,0,0,0,0.00,0.000,0
44,Bagerhat,0,0,0.00,0.000,0,0,0,0.00,0.000,0
45,Satkhira,0,0,0.00,0.000,0,0,0,0.00,0.000,0
46,Kushtia,0,0,0.00,0.000,0,0,0,0.00,0.000,0
47,Chuadanga,0,0,0.00,0.000,0,0,0,0.00,0.000,0
48,Meherpur,0,0,0.00,0.000,0,0,0,0.00,0.000,0
6,Khulna Division,0,0,0.00,0.000,0,0,0,0.00,0.000,0
49,Bogura,38980,15774,145.64,13.434,211909,41772,16904,141.88,13.087,221225
50,Joypurhat,12079,4888,144.07,13.289,64958,13317,5389,140.53,12.962,69856
51,Pabna,175,71,85.12,7.851,556,177,72,85.21,7.860,563
52,Sirajgonj,1651,668,99.16,9.146,6111,1784,722,101.01,9.317,6726
53,Rajshahi,11008,4455,125.23,11.551,51457,10636,4304,130.60,12.046,51850
54,Noagaon,24658,9979,131.41,12.121,120952,29081,11768,145.18,13.391,157595
55,Natore,316,128,120.02,11.071,1416,300,121,110.85,10.225,1241
56,Nawabgonj,506,205,109.22,10.074,2063,389,157,108.99,10.053,1583
7,"Rajshahi
Division",89373,36167,137.71,12.703,459422,97456,39438,140.37,12.948,510639
57,Dinajpur,16615,6724,127.77,11.785,79242,18050,7304,149.72,13.810,100875
58,Thakurgaon,4784,1936,115.85,10.686,20688,5343,2162,125.02,11.532,24934
59,Panchagar,3195,1293,101.86,9.396,12148,1535,621,115.64,10.667,6626
60,Rangpur,8102,3279,139.67,12.883,42240,9240,3739,138.95,12.817,47925
61,Gaibandha,1925,779,93.20,8.597,6697,2558,1035,97.28,8.973,9289
62,Kurigram,1564,633,117.03,10.795,6832,1949,789,119.61,11.033,8702
63,Nilphamari,3852,1559,115.95,10.695,16672,2724,1102,112.52,10.379,11441
64,Lalmonirhat,1476,597,105.59,9.740,5818,1445,585,109.73,10.121,5919
8,"Rangpur
Division",41513,16799,122.83,11.330,190336,42844,17338,134.88,12.441,215710
BANGLADESH,,170439,68973,125.47,11.573,798236,183413,74223,131.10,12.093,897545
