Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside &
Outside Garden (M.Tons )",,
,,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17
1,Barguna,0,0,0,0,0,0,977,1003,4298,977,1003,4298
2,Barishal,0,0,0,0,0,0,1660,1828,1002,1660,1828,1002
3,Bhola,0,0,0,0,0,0,453,221,219,453,221,219
4,Jhallokati,0,0,0,0,0,0,294,275,288,294,275,288
5,Patuakhali,0,0,0,0,0,0,1696,2632,3372,1696,2632,3372
6,Pirojpur,0,0,0,0,0,0,229,272,360,229,272,360
1,Barishal,0,0,0,0,0,0,5309,6231,9539,5309,6231,9539
7,Bandarban,0,0,0,0,0,0,-,40,203,-,40,203
8,Brahmanbaria,0,0,0,0,0,0,221,258,40,221,258,40
9,Chandpur,0,0,0,0,0,0,1838,1893,1774,1838,1893,1774
10,Chittagang,0,0,0,0,0,0,1640,1369,1384,1640,1369,1384
11,Cumilla,0,0,0,0,0,0,928,1057,1338,928,1057,1338
12,Cox's Bazar,0,0,0,0,0,0,166,153,195,166,153,195
13,Feni,0,0,0,0,0,0,398,387,396,398,387,396
14,Khagrachhari,0,0,0,0,0,0,38,48,38,38,48,38
15,Laksmipur,0,0,0,0,0,0,1000,1014,1047,1000,1014,1047
16,Noakhali,0,0,0,0,0,0,1568,1544,2242,1568,1544,2242
17,Rangamati,0,0,0,0,0,0,36,32,50,36,32,50
2,Chittagang,0,0,0,0,0,0,7833,7795,8707,7833,7795,8707
18,Dhaka,0,0,0,0,0,0,203,326,325,203,326,325
19,Faridpur,7,0,7,225,212,209,3616,3411,3361,3841,3623,3570
20,Gazipur,7,0,258,119,135,133,910,935,956,1029,1070,1089
21,Gopalganj,25,20,5,272,723,75,2485,2093,2935,2757,2816,3010
22,Kishorganj,0,0,0,0,0,0,290,336,346,290,336,346
23,Madaripur,16,0,0,447,447,0,8520,8881,8903,8967,9328,8903
24,Manikganj,0,0,0,0,0,0,328,346,328,328,346,328
25,Munshiganj,0,0,0,0,0,0,269,314,303,269,314,303
26,Narayanganj,0,0,0,1,1,0,88,110,109,89,111,109
27,Narsingdi,0,0,0,0,0,0,760,910,1150,760,910,1150
28,Rajbari,0,0,0,0,0,0,1015,1942,1907,1015,1942,1907
29,Shariatpur,0,0,0,0,0,0,945,835,963,945,835,963
30,Tangail,3,3,0,59,60,59,1669,1696,1716,1728,1756,1775
3,Dhaka,58,23,270,1123,1578,476,21098,22135,23302,22221,23713,23778
31,Bagerhat,-,0,0,-,0,0,3068,3147,3530,3068,3147,3530
32,Chuadanga,-,0,64,-,0,5,262,304,302,262,304,307
33,Jashore,18,5,6,185,58,58,573,936,949,758,994,1007
34,Jhenaidah,0,0,0,0,0,0,781,939,858,781,939,858
35,Khulna,0,0,0,0,0,0,1421,1552,1587,1421,1552,1587
36,Kushtia,0,0,0,0,0,0,756,828,832,756,828,832
,,2014-15,2015-16,2016-17,2014-15,"2015-
16",2016-17,2014-15,"2015-
16",2016-17,"2014-
15",2015-16,2016-17
37,Magura,0,0,0,0,0,0,1353,1305,1355,1353,1305,1355
38,Meherpur,-,10,10,33,57,36,119,99,111,152,156,147
39,Narail,18,18,18,61,405,69,343,28,386,404,433,455
40,Satkhira,11,8,7,47,38,31,1197,1230,1076,1244,1268,1107
4,Khulna,47,41,105,326,558,199,9873,10368,10986,10199,10926,11185
41,Jamalpur,0,0,0,0,0,0,500,478,448,500,478,448
42,Mymensing,0,0,0,0,0,0,1559,1687,1455,1559,1687,1455
43,Netrakona,0,0,0,0,0,0,82,84,94,82,84,94
44,Sherpur,0,0,0,0,0,0,238,254,277,238,254,277
5,Mymensing,0,0,0,0,0,0,2379,2503,2274,2379,2503,2274
45,Bogura,0,0,0,0,0,0,1340,1377,3077,1340,1377,3077
46,Joypurhat,-,3,3,41,78,74,230,575,392,271,653,466
47,Naogaon,3,20,18,814,837,921,400,1672,672,1214,2509,1593
48,Natore,16,0,0,-,0,0,3716,4681,4692,3716,4681,4692
49,Chapai Nawabganj,0,0,0,0,0,0,204,135,150,204,135,150
50,Pabna,0,0,0,0,0,0,1119,1619,1151,1119,1619,1151
51,Rajshahi,7,0,0,9,0,0,1205,1205,1171,1214,1205,1171
52,Sirajganj,0,0,0,0,0,0,1048,660,1166,1048,660,1166
6,Rajshahi,26,0,21,864,915,995,9262,11924,12471,10126,12839,13466
53,Dinajpur,0,0,0,0,0,0,163,172,188,163,172,188
54,Gaibandha,0,0,0,0,0,0,64,56,57,64,56,57
55,Kurigram,0,0,0,0,0,0,6,9,9,6,9,9
56,Lalmonirhat,0,0,0,0,0,0,-,7,178,-,7,178
57,Nilphamari,0,0,0,0,0,0,23,16,18,23,16,18
58,Panchagarh,0,0,0,0,0,0,4,0,0,4,0,0
59,Rangpur,0,0,0,0,0,0,354,346,326,354,346,326
60,Thakurgaon,0,0,0,0,0,0,6,7,9,6,7,9
7,Rangpur,0,0,0,0,0,0,620,613,785,620,613,785
61,Habiganj,0,0,0,0,0,0,163,244,246,163,244,246
62,Maulvibazar,0,0,0,0,0,0,19,19,19,19,19,19
63,Sunamganj,0,0,0,0,0,0,-,1131,1120,-,1131,1120
64,Sylhet,0,0,0,0,0,0,-,0,0,-,0,0
8,Sylhet,0,0,0,0,0,0,182,1394,1385,182,1394,1385
,BANGLADESH,131,64,396,2313,3051,1670,56556,62963,69449,58869,66014,71119
