Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside &
Outside Garden (M.Tons )",,
,,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17
1,Barguna,0,0,0,0,0,0,-,19,25,-,19,25
2,Barishal,0,0,0,0,0,0,79,79,0,79,79,0
3,Bhola,0,0,0,0,0,0,11,0,0,11,-,0
4,Jhallokati,3,2,0,8,2,4,21,7,31,29,9,35
5,Patuakhali,0,0,0,0,0,0,25,52,54,25,52,54
6,Pirojpur,0,0,0,0,0,0,48,51,53,48,51,53
1,Barishal,3,2,0,8,2,4,184,208,163,192,210,167
7,Bandarban,5,5,6,17,-,18,3,20,2,20,20,20
8,Brahmanbaria,0,0,0,0,0,0,3,3,3,3,3,3
9,Chandpur,0,0,0,0,0,0,0,0,0,0,0,0
10,Chittagang,0,0,0,0,0,0,7,-,3,7,-,3
11,Cumilla,0,0,0,0,7,0,15,14,14,15,21,14
12,Cox's Bazar,0,0,0,0,0,0,0,0,0,0,0,0
13,Feni,0,0,0,0,0,0,0,0,0,0,0,0
14,Khagrachhari,39,39,47,9,19,32,46,50,52,55,69,84
15,Laksmipur,0,0,0,0,0,0,0,0,0,0,0,0
16,Noakhali,0,0,0,0,0,0,0,0,0,0,0,0
17,Rangamati,-,-,0,-,-,0,47,36,38,47,36,38
2,Chittagang,44,44,53,26,26,50,121,123,112,147,149,162
18,Dhaka,0,0,0,0,0,0,-,-,0,-,-,0
19,Faridpur,0,0,0,0,0,0,1,1,1,1,1,1
20,Gazipur,0,0,0,0,0,0,5,5,29,5,5,29
21,Gopalganj,0,0,0,0,0,0,0,0,0,0,0,0
22,Kishorganj,0,0,0,0,0,0,44,46,47,44,46,47
23,Madaripur,0,0,0,0,0,0,0,0,0,0,0,0
24,Manikganj,0,0,0,0,0,0,0,0,0,0,0,0
25,Munshiganj,0,0,0,0,0,0,0,0,0,0,0,0
26,Narayanganj,0,0,0,0,0,0,0,0,0,0,0,0
27,Narsingdi,0,0,0,0,0,0,17,1,2,17,1,2
28,Rajbari,0,0,0,0,0,0,0,0,0,0,0,0
29,Shariatpur,0,0,0,0,0,0,0,0,0,0,0,0
30,Tangail,0,0,0,0,0,0,0,16,95,0,16,95
3,Dhaka,0,0,0,0,0,0,0,69,174,67,69,174
31,Bagerhat,0,0,0,0,0,0,4,4,8,4,4,8
32,Chuadanga,0,0,0,0,0,0,2,-,2,2,-,2
33,Jashore,0,0,0,0,0,0,11,20,20,11,20,20
34,Jhenaidah,0,0,0,0,0,0,1,3,6,1,3,6
35,Khulna,0,0,0,0,0,0,7,4,6,7,4,6
36,Kushtia,0,0,0,0,0,0,-,-,0,-,-,0
,,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17
37,Magura,0,0,0,0,0,0,34,31,30,34,31,30
38,Meherpur,0,0,0,0,0,0,-,-,0,-,-,0
39,Narail,0,0,0,0,0,0,62,64,46,62,64,46
40,Satkhira,0,0,0,0,0,0,10,4,5,10,4,5
4,Khulna,0,0,0,0,0,0,131,130,123,131,130,123
41,Jamalpur,0,0,0,0,0,0,8,8,8,8,8,8
42,Mymensing,0,0,0,0,0,0,23,24,24,23,24,24
43,Netrakona,0,0,0,0,0,0,6,8,11,6,8,11
44,Sherpur,0,0,0,0,0,0,5,0,0,5,0,0
5,Mymensing,0,0,0,0,0,0,42,40,43,42,40,43
45,Bogura,2,2,0,2,4,6,8,19,23,10,23,29
46,Joypurhat,0,0,0,0,0,0,4,5,5,4,5,5
47,Naogaon,0,0,0,0,0,0,-,-,0,-,-,0
48,Natore,0,0,0,0,0,0,-,-,0,-,-,0
49,Chapai Nawabganj,0,0,0,0,0,0,-,-,0,-,-,0
50,Pabna,0,0,0,0,0,0,-,-,0,-,-,0
51,Rajshahi,0,0,0,0,0,0,-,-,0,-,-,0
52,Sirajganj,0,0,0,0,0,0,3,3,3,3,3,3
6,Rajshahi,2,2,0,2,4,6,15,27,31,17,31,37
53,Dinajpur,3,2,2,5,5,5,47,53,62,52,58,67
54,Gaibandha,0,0,0,0,0,0,4,5,5,4,5,5
55,Kurigram,0,0,0,0,0,0,33,35,15,33,35,15
56,Lalmonirhat,0,0,0,0,0,0,51,51,50,51,51,50
57,Nilphamari,-,12,13,5,60,68,65,75,99,70,135,167
58,Panchagarh,42,44,44,73,101,104,36,39,55,109,140,159
59,Rangpur,0,0,15,0,0,0,16,18,20,16,18,20
60,Thakurgaon,0,0,0,0,0,0,10,12,12,10,12,12
7,Rangpur,45,58,74,83,166,177,262,288,318,345,454,495
61,Habiganj,0,0,0,0,0,0,0,0,0,0,0,0
62,Maulvibazar,0,0,0,0,0,0,675,360,286,675,360,286
63,Sunamganj,0,0,0,0,0,0,0,0,0,0,0,0
64,Sylhet,5,23,29,9,42,0,11,65,54,20,107,54
8,Sylhet,5,23,29,9,42,49,686,425,340,695,467,389
,BANGLADESH,99,129,156,128,240,286,1508,1310,1304,1636,1550,1590
