Zila/Division,,2015-16,,,,,2016-17,,,,
,,Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Production
(M. Ton)",Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Production
(M. Ton)"
33,Barishal,30833,12477,21.00,1.937,24169,27785,11244,20.80,1.919,21573
34,Jhalakathi,32146,13009,23.00,2.122,27598,26821,10854,22.60,2.085,22626
35,Perojpur,47290,19137,25.20,2.324,44483,38592,15617,23.13,2.134,33320
36,Bhola,68555,27743,18.90,1.743,48365,69829,28258,22.95,2.117,59820
37,Patuakhali,65239,26401,27.60,2.546,67212,46494,18815,27.00,2.490,46858
38,Barguna,100507,40673,23.10,2.131,86663,94656,38305,25.10,2.315,88685
5,"Barishal
Division",344570,139440,23.21,2.141,298490,304177,123094,24.03,2.217,272881
39,Jashore,69092,27960,30.30,2.795,78144,45370,18360,30.10,2.776,50976
40,Jhenaidah,52708,21330,32.00,2.952,62958,52468,21233,31.70,2.924,62084
41,Magura,13441,5439,24.80,2.288,12443,8118,3285,25.70,2.371,7788
42,Narail,2884,1167,22.10,2.038,2379,3303,1337,24.00,2.214,2959
43,Khulna,1424,576,23.90,2.205,1270,869,352,24.70,2.278,801
44,Bagerhat,14727,5960,25.26,2.330,13886,11461,4638,27.90,2.573,11936
45,Satkhira,20237,8189,27.10,2.500,20471,15971,6463,27.10,2.500,16156
46,Kushtia,58082,23505,29.30,2.703,63524,35569,14394,28.50,2.629,37839
47,Chuadanga,67871,27466,29.50,2.721,74737,67070,27142,30.20,2.786,75607
48,Meherpur,22130,8956,32.50,2.998,26847,22130,8956,34.90,3.219,28829
6,"Khulna
Division",322596,130548,29.62,2.732,356659,262329,106159,30.12,2.779,294975
49,Bogura,53227,21540,26.90,2.481,53446,46649,18878,27.07,2.497,47137
50,Joypurhat,116,47,23.40,2.158,101,144,58,25.00,2.306,134
51,Pabna,17815,7209,24.90,2.297,16558,17485,7076,25.50,2.352,16643
52,Sirajgonj,9750,3946,26.68,2.461,9710,7682,3109,26.79,2.471,7682
53,Rajshahi,97061,39278,30.90,2.850,111952,94413,38207,29.20,2.693,102906
54,Noagaon,127185,51469,29.20,2.693,138626,127376,51546,29.39,2.711,139738
55,Natore,11003,4453,24.40,2.251,10021,10100,4087,25.80,2.380,9727
56,Nawabgonj,101749,41176,27.93,2.576,106079,97073,39283,28.10,2.592,101820
7,"Rajshahi
Division",417906,169117,28.62,2.640,446493,400922,162244,28.45,2.624,425787
57,Dinajpur,16742,6775,25.20,2.324,15748,12869,5208,24.10,2.223,11577
58,Thakurgaon,24963,10102,27.33,2.521,25466,23488,9505,27.39,2.526,24014
59,Panchagar,198,80,29.77,2.746,220,220,89,29.60,2.730,243
60,Rangpur,33187,13430,30.20,2.786,37411,33841,13695,28.45,2.624,35938
61,Gaibandha,2595,1050,18.20,1.679,1763,2594,1050,19.10,1.762,1849
62,Kurigram,2486,1006,23.30,2.149,2162,2750,1113,24.10,2.223,2474
63,Nilphamari,922,373,16.00,1.476,551,288,117,17.00,1.568,183
64,Lalmonirhat,11664,4720,26.50,2.444,11538,3110,1259,25.80,2.380,2995
8,"Rangpur
Division",92757,37537,27.40,2.527,94859,79160,32034,26.83,2.475,79273
BANGLADESH,,1991898,806077,27.05,2.495,2010996,1861285,753221,27.06,2.496,1880090
