Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside &
Outside Garden (M.Tons )",,
,,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17
1,Barguna,39,337,7,86,80,69,480,439,555,566,519,624
2,Barishal,43,23,16,370,193,270,1512,1537,1521,1882,1730,1791
3,Bhola,-,0,0,-,0,0,1781,497,3409,1781,497,3409
4,Jhallokati,-,0,0,-,0,0,313,345,792,313,345,792
5,Patuakhali,-,0,0,-,0,0,951,809,845,951,809,845
6,Pirojpur,23,21,21,131,138,145,448,465,476,579,603,621
1,Barishal,105,381,44,587,411,484,5485,4092,7598,6072,4503,8082
7,Bandarban,116,117,117,1196,1294,1294,752,849,863,1948,2143,2157
8,Brahmanbaria,-,0,0,-,0,0,377,417,461,377,417,461
9,Chandpur,3,3,3,82,78,81,1997,1976,1984,2079,2054,2065
10,Chittagang,29,30,127,355,347,470,2462,2885,2495,2817,3232,2965
11,Cumilla,3,2,1,29,31,12,1954,1982,1931,1983,2013,1943
12,Cox's Bazar,49,94,94,279,590,590,746,1400,1400,1025,1990,1990
13,Feni,-,0,0,-,0,0,636,661,727,636,661,727
14,Khagrachhari,111,120,132,831,852,89,1201,1182,2066,2032,2034,2155
15,Laksmipur,28,28,26,989,936,100,2615,2741,3411,3604,3677,3511
16,Noakhali,-,0,35,423,376,799,2856,2343,4074,3279,2719,4873
17,Rangamati,176,171,18,2880,2732,2852,2018,2390,2391,4898,5122,5243
2,Chittagang,515,565,553,7064,7236,6287,17614,18826,21803,24678,26062,28090
18,Dhaka,45,48,643,781,649,349,830,1278,2049,1611,1927,2398
19,Faridpur,12,10,110,99,104,104,564,568,564,663,672,668
20,Gazipur,95,81,94,1237,1020,1394,822,619,715,2059,1639,2109
21,Gopalganj,22,12,19,206,271,267,1073,765,991,1279,1036,1258
22,Kishorganj,6,7,8,181,152,176,1019,930,980,1200,1082,1156
23,Madaripur,8,8,8,840,812,812,2360,2388,2388,3200,3200,3200
24,Manikganj,9,10,9,140,159,76,1004,1068,1128,1144,1227,1204
25,Munshiganj,8,387,3,130,26,24,819,852,439,949,878,463
26,Narayanganj,10,14,859,68,166,260,1857,947,714,1925,1113,974
27,Narsingdi,96,112,98,615,819,656,610,456,594,1225,1275,1250
28,Rajbari,367,367,63,451,676,482,562,337,647,1013,1013,1129
29,Shariatpur,8,0,0,105,0,0,855,1061,1942,960,1061,1942
30,Tangail,34,28,28,532,541,608,3014,3048,3239,3546,3589,3847
3,Dhaka,720,1084,1942,5385,5395,5208,15389,14317,16390,20774,19712,21598
31,Bagerhat,31,29,22,88,90,52,447,490,470,535,580,522
32,Chuadanga,260,97,67,1620,1597,1920,499,302,657,2119,1899,2577
33,Jashore,84,90,92,1570,1598,1639,1582,1519,1483,3152,3117,3122
34,Jhenaidah,0,56,46,578,527,642,673,692,796,1251,1219,1438
35,Khulna,46,46,49,303,284,257,1184,834,906,1487,1118,1163
36,Kushtia,57,42,47,1287,1183,1273,4676,4569,4201,5963,5752,5474
,,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17
37,Magura,14,22,20,668,734,725,1411,1682,1873,2079,2416,2598
38,Meherpur,30,26,33,431,367,459,330,353,418,761,720,877
39,Narail,6,6,7,97,97,107,1339,1385,1355,1436,1482,1462
40,Satkhira,79,80,22,656,666,667,842,1251,1421,1498,1917,2088
4,Khulna,607,494,405,7298,7143,7741,12983,13077,13580,20281,20220,21321
41,Jamalpur,35,44,43,641,472,405,2629,2541,2652,3270,3013,3057
42,Mymensing,76,1417,36,622,806,617,1521,1659,2340,2143,2465,2957
43,Netrakona,2,0,2,36,42,44,730,746,816,766,788,860
44,Sherpur,22,4,8,1050,625,336,3341,677,1336,4391,1302,1672
5,Mymensing,135,1465,89,2349,1945,1402,8221,5623,7144,10570,7568,8546
45,Bogura,150,150,190,1665,1762,2896,944,1621,1725,2609,3383,4621
46,Joypurhat,15,16,16,279,327,30,158,187,541,437,514,571
47,Naogaon,5,5,4,114,103,107,1347,1590,1644,1461,1693,1751
48,Natore,65,4822,62,7636,3154,4860,12995,17682,9100,20631,20836,13960
49,Chapai Nawabganj,18,18,27,233,233,266,492,493,567,725,726,833
50,Pabna,50,54,52,699,811,754,3471,3290,3730,4170,4101,4484
51,Rajshahi,326,312,312,5442,4480,4463,2204,2733,2665,7646,7213,7128
52,Sirajganj,1,0,1,58,60,73,2865,2955,2989,2923,3015,3062
6,Rajshahi,630,5377,664,16126,10930,13449,24476,30551,22961,40602,41481,36410
53,Dinajpur,53,29,25,183,189,458,1230,1300,1119,1413,1489,1577
54,Gaibandha,277,281,4,394,419,428,829,857,861,1223,1276,1289
55,Kurigram,12,9,10,57,52,55,568,615,770,625,667,825
56,Lalmonirhat,12,9,10,231,175,203,508,546,640,739,721,843
57,Nilphamari,2,6,20,18,73,78,1074,980,627,1092,1053,705
58,Panchagarh,14,14,14,211,142,132,1398,935,888,1609,1077,1020
59,Rangpur,23,27,31,377,367,350,991,947,942,1368,1314,1292
60,Thakurgaon,10,5,112,29,28,36,353,383,461,382,411,497
7,Rangpur,403,380,226,1500,1445,1740,6951,6563,6308,8451,8008,8048
61,Habiganj,6,5,5,109,98,156,347,398,315,456,496,471
62,Maulvibazar,-,0,0,-,0,0,654,990,1001,654,990,1001
63,Sunamganj,-,0,0,-,0,0,537,663,667,537,663,667
64,Sylhet,5,10,14,112,110,63,183,558,350,295,668,413
8,Sylhet,11,15,19,221,208,219,1721,2609,2333,1942,2817,2552
,BANGLADESH,3126,9761,3942,40530,34713,36530,92840,95658,98117,133370,130371,134647
