Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.Tons
)",,
,,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17
1,Barguna,-,484,427,-,775,511,1529,2825,3182,1529,3600,3693
2,Barishal,-,0.8,0,-,0,0,4784,4650,4453,4784,4650,4453
3,Bhola,-,0,0,-,0,0,1564,1799,1510,1564,1799,1510
4,Jhallokati,-,0,0,-,0,0,816,944,985,816,944,985
5,Patuakhali,-,0,0,-,0,0,764,785,3611,764,785,3611
6,Pirojpur,32,32,28,-,131,153,2296,2244,3732,2296,2375,3885
1,Barishal,32,516.8,455,-,906,664,11753,13247,17473,11753,14153,18137
7,Bandarban,324,400,400,1288,1547,1547,1792,2206,2206,3080,3753,3753
8,Brahmanbaria,-,0,0,-,0,0,5626,7480,9097,5626,7480,9097
9,Chandpur,64,0,0,102,0,0,12884,6674,74,12986,6674,74
10,Chittagang,221,64,6418,806,1042,103,4832,12499,13682,5638,13541,13785
11,Cumilla,44,0,52,-,448,934,20780,23681,25905,20780,24129,26839
12,Cox's Bazar,-,0,223,-,815,846,5804,4739,5266,5804,5554,6112
13,Feni,-,10,10,-,59,55,2840,3188,4248,2840,3247,4303
14,Khagrachhari,1793,1944,2161,3206,3575,3889,1480,2176,2315,4686,5751,6204
15,Laksmipur,28,0,27,22,30,30,1403,1611,1626,1425,1641,1656
16,Noakhali,-,0,0,-,0,0,3184,3411,3319,3184,3411,3319
17,Rangamati,608,3371,444,2862,3635,2939,2548,2296,2706,5410,5931,5645
2,Chittagang,3082,5789,9735,8286,11151,10343,63173,69961,70444,71459,81112,80787
18,Dhaka,143,122,122,337,403,537,2915,2752,3346,3252,3155,3883
19,Faridpur,160,160,160,1980,2097,2150,4736,5593,5706,6716,7690,7856
20,Gazipur,324,327,331,878,991,1085,7645,7904,8612,8523,8895,9697
21,Gopalganj,424,50,437,1229,1346,1313,2914,3222,3202,4143,4568,4515
22,Kishorganj,4,4,4,30,30,37,7297,7963,8485,7327,7993,8522
23,Madaripur,151,150,1,731,6,5,6229,5362,5277,6960,5368,5282
24,Manikganj,122,157,157,896,877,909,3577,3838,4018,4473,4715,4927
25,Munshiganj,152,0,31,-,0,0,2666,2987,2997,2666,2987,2997
26,Narayanganj,33,31,0,54,125,123,1339,1994,2430,1393,2119,2553
27,Narsingdi,219,226,223,389,545,585,3509,4325,3650,3898,4870,4235
28,Rajbari,3632,447,461,2451,2871,2987,14692,14859,14843,17143,17730,17830
29,Shariatpur,47,25,58,36,87,166,3061,6387,8558,3097,6474,8724
30,Tangail,876,883,886,1746,2203,1943,9757,10647,11440,11503,12850,13383
3,Dhaka,6287,2582,2871,4676,11581,11840,70337,77833,82564,81094,89414,94404
31,Bagerhat,51,51,48,206,87,67,1193,1187,1410,1399,1274,1477
32,Chuadanga,1951,1200,469,3675,4248,4631,1399,1598,1857,5074,5846,6488
33,Jashore,998,1017,1139,5304,5563,4958,5526,6179,5749,10830,11742,10707
34,Jhenaidah,20,440,509,167,7278,7041,201,6160,10646,368,13438,17687
35,Khulna,403,428,2441,4951,893,937,1196,5883,5863,6147,6776,6800
36,Kushtia,1863,1743,135,8815,11235,11348,26540,32694,33700,35355,43929,45048
