Year,Insecticide,,,,miticide,Fungicide,,Herbicide,Rodenticide,Total
,Granular,,Liquid,Powder,,General,Sulphur,,,
Year 2012,,,,,,,,,,
January-March,7346.52,1139.09,,246.89,10.08,875.20,6426.59,1216.70,25.89,17286.96
April-June,2424.24,490.93,,97.01,20.58,249.23,1395.92,528.16,8.77,5214.84
July-September,3811.45,813.32,,138.35,10.50,480.50,2445.10,617.50,32.45,8349.17
October-December,2957.14,1012.12,,159.12,14.04,1577.67,3027.60,1261.58,22.70,10031.97
Total,16539.35,3455.46,,641.37,55.20,3182.60,13295.94,3623.94,89.81,40882.94
Year 2013,,,,,,,,,,
January-March,4494.00,952.64,,256.74,14.19,917.68,6147.58,856.58,34.91,13674.32
April-June,2030.57,563.96,,94.13,26.84,310.06,724.84,321.60,12.42,4084.42
July-September,3825.94,866.42,,159.78,13.63,608.87,2835.96,509.50,25.50,8845.80
October-December,3092.93,1079.63,,180.69,16.88,1681.35,3828.05,1261.38,35.61,11176.52
Total,13443.44,3462.65,,691.34,71.54,3517.96,13536.43,2949.06,108.44,37781.06
Year 2014,,,,,,,,,,
January-March,5114.04,1181.05,,218.45,9.33,1037.89,7698.17,921.22,10.97,15311.12
April-June,1504.50,550.65,,150.40,20.60,715.34,1500.20,725.35,18.43,5185.47
July-September,1601.46,87.35,,110.70,19.55,851.52,1700.40,712.50,23.50,5894.98
October-December,3521.00,983.20,,274.18,29.84,970.30,2563.54,1041.22,26.83,9410.11
Total,11741.00,2802.25,,753.73,79.32,3575.05,13462.31,3400.29,79.73,35801.68
Year 2015,,,,,,,,,,
January-March,4863.59,1588.91,,395.26,38.87,1896.36,5253.75,1944.64,34.90,16016.28
April-June,1215.90,397.22,,98.81,9.90,474.10,1315.00,486.16,8.93,4006.02
July-September,1519.87,496.53,,123.52,12.50,592.61,1642.70,607.70,11.22,5006.65
October-December,2533.12,827.55,,205.86,22.01,987.68,2733.86,1012.83,19.74,8342.65
Total,10132.48,3310.21,,823.45,83.28,3950.75,10945.31,4051.33,74.79,33371.60
Year 2016,,,,,,,,,,
January-March,"4,863.59","1,588.19",,395.26,38.87,"1,896.36","5,253.75","1,944.64",34.90,"16,016.28"
April-June,"1,215.90",397.22,,98.81,9.90,474.10,"1,315.00",486.16,8.93,"4,006.02"
July-September,"1,519.87",496.53,,123.52,12.50,592.61,"1,642.70",607.70,11.22,"5,006.65"
October-December,"2,533.12",827.55,,205.86,22.01,987.68,"2,733.86","1,012.83",19.74,"8,342.65"
Total,"10,132.48","3,310.21",,823.45,83.28,"3,950.75","10,945,31","4,015.33",74.79,"33,371.60"
Year 2017,,,,,,,,,,
January-March,2734.75,1368.82,,380.61,32.84,1771.33,3106.24,1739.01,22.59,11156.19
April-June,1823.16,912.55,,253.74,21.90,1180.89,2070.83,1159.34,15.06,7437.47
July-September,205.48,1003.80,,279.11,24.09,1298.97,2277.91,1275.27,16.57,8181.20
October-December,2552.43,1277.56,,355.23,30.65,1653.24,2899.19,1623.07,21.08,10412.42
Total,7315.82,4562.73,,1268.69,109.48,5904.43,10354.17,5796.69,75.3,37187.28
