Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.Tons
)",,
,,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17
37,Magura,-,0,0,-,0,0,-,0,0,-,0,0
38,Meherpur,-,0,0,-,0,0,-,0,0,-,0,0
39,Narail,-,0,0,-,0,0,-,0,0,-,0,0
40,Satkhira,-,0,0,-,0,0,-,0,0,-,0,0
4,Khulna,-,0,15,-,0,42,49,36,29,49,36,71
41,Jamalpur,0,0,0,0,0,0,0,0,0,0,0,0
42,Mymensing,2,0,0,14,14,0,109,116,120,123,130,120
43,Netrakona,0,0,0,0,0,0,0,0,0,0,0,0
44,Sherpur,0,0,0,0,0,0,0,0,0,0,0,0
5,Mymensing,2,0,0,14,14,0,109,116,120,123,130,120
45,Bogura,41,25,25,41,8,14,34,35,39,75,43,53
46,Joypurhat,25,0,0,-,5,5,-,19,33,-,24,38
47,Naogaon,-,0,0,-,0,0,-,0,0,-,0,0
48,Natore,-,0,0,-,0,0,-,119,120,-,119,120
49,Chapai Nawabganj,253,253,253,16028,16391,16403,6650,6724,6783,22678,23115,23186
50,Pabna,26,0,0,-,2,0,148,143,0,148,145,0
51,Rajshahi,25,25,0,890,890,809,207,196,172,1097,1086,981
52,Sirajganj,12,12,12,-,1,0,-,21,21,0,22,21
6,Rajshahi,382,315,290,16959,17297,17231,7039,7257,7168,23998,24554,24399
53,Dinajpur,97,97,42,242,302,160,1317,1080,514,1559,1382,674
54,Gaibandha,-,0,0,-,0,0,-,0,0,-,0,0
55,Kurigram,-,0,0,-,0,0,-,0,0,-,0,0
56,Lalmonirhat,-,2,0,-,4,6,-,2,7,-,6,13
57,Nilphamari,-,0,0,-,0,0,-,0,0,-,0,0
58,Panchagarh,8,1,2,24,21,22,97,78,80,121,99,102
59,Rangpur,5,5,5,18,18,21,10,14,14,28,32,35
60,Thakurgaon,-,0,33,-,0,24,-,9,219,-,9,243
7,Rangpur,110,105,82,284,345,233,1424,1183,834,1708,1528,1067
61,Habiganj,-,0,0,-,0,0,-,0,0,-,0,0
62,Maulvibazar,-,0,0,-,0,0,-,0,0,-,0,0
63,Sunamganj,-,0,0,-,0,0,-,0,0,-,0,0
64,Sylhet,-,0,0,-,0,0,-,0,0,-,0,0
8,Sylhet,-,0,0,-,0,0,-,0,0,-,0,0
,BANGLADESH,534,463,491,18188,18476,17946,10768,9251,9119,28956,27727,27065
