Name of Crops,2014-15,,2015-16,,2016-17,
,"Area
(acres)","Production
(MT)","Area
(acres)","Production
(MT)","Area
(acres)","Production
(MT)"
Banana,115434,777427,117159,798012,120203,807104
Mango,61997,1018112,93480,1161685,102939,1288315
Pineapple,33687,195718,33498,200701,35483,211833
Jackfruit,33151,1060793,27334,1031153,35342,1049912
Ripe Papaya,3126,133370,9761,130371,3942,134647
Water-Melon,29279,293959,27296,249605,29338,253661
Litchi,7058,73257,5649,77705,7136,90297
Guava,9304,204625,8794,214308,11526,229376
Ber (Kul),2547,90209,5267,86314,7062,89875
Orange,1089,3954,1073,3218,1055,3372
Lime & Lemon,5786,68721,4822,65248,6371,69132
Pomelo(Jambura/Batavilabu),900,63223,812,66470,777,65560
Melon (Banggi),10232,53107,10167,49270,9114,40959
Tamarind (Tetul),47,10444,81,10966,22,10812
Star apple (Jamrul),18,9922,8,10037,8,10091
Khirai,12291,42799,12930,46446,14038,50495
Black berry,386,51302,354,52002,290,52045
Carambola apple (Kamranga),70,15102,51,15596,17,14221
Woodapple(kathbell),72,26534,57,27915,62,28745
Geen Coconut,4087,421328,11635,423582,3585,471046
Olive (Jalpai),196,14509,168,19025,184,17888
Hog plum(Amra),1027,32194,195,36171,247,39454
Other Fruits,84,15686,15,15471,37,15752
Other Citrus Fruits,108,21341,56,21099,79,23206
Total-,323699,4697636,370662,4812370,388857,5067798
