Zila/Division,,"Area Under Garden
(Acres)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.Tons
)",,
,,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17
37,Magura,-,0,0,-,0,0,112,119,124,112,119,124
38,Meherpur,-,0,0,-,0,0,8,14,19,8,14,19
39,Narail,-,0,0,-,0,0,68,77,78,68,77,78
40,Satkhira,-,0,0,-,0,0,354,225,29,354,225,29
4,Khulna,-,0,0,-,0,0,1916,1922,1775,1916,1922,1775
41,Jamalpur,0,0,0,0,0,0,154,107,107,154,107,107
42,Mymensing,0,0,0,0,0,0,306,380,367,306,380,367
43,Netrakona,0,0,0,0,0,0,82,83,74,82,83,74
44,Sherpur,0,0,0,0,0,0,160,129,137,160,129,137
5,Mymensing,0,0,0,0,0,0,702,699,685,702,699,685
45,Bogura,-,0,0,-,0,0,224,370,376,224,370,376
46,Joypurhat,-,0,0,-,0,0,44,61,66,44,61,66
47,Naogaon,-,0,0,-,0,0,123,632,549,123,632,549
48,Natore,-,0,0,-,0,0,613,621,610,613,621,610
49,Chapai Nawabganj,-,0,0,-,0,0,114,18,19,114,18,19
50,Pabna,-,0,0,-,0,0,363,341,357,363,341,357
51,Rajshahi,-,0,0,-,0,0,183,184,181,183,184,181
52,Sirajganj,-,0,0,-,0,0,130,166,170,130,166,170
6,Rajshahi,-,0,0,-,0,0,1794,2393,2328,1794,2393,2328
53,Dinajpur,-,0,0,-,0,0,217,205,219,217,205,219
54,Gaibandha,-,0,0,-,0,0,20,32,32,20,32,32
55,Kurigram,-,0,0,-,0,0,99,105,79,99,105,79
56,Lalmonirhat,-,0,0,-,0,0,38,23,25,38,23,25
57,Nilphamari,-,0,0,-,0,0,36,39,56,36,39,56
58,Panchagarh,-,0,0,-,0,0,35,34,35,35,34,35
59,Rangpur,-,0,0,-,0,0,78,87,100,78,87,100
60,Thakurgaon,-,0,0,-,0,0,60,48,41,60,48,41
7,Rangpur,-,0,0,-,0,0,583,573,587,583,573,587
61,Habiganj,-,0,0,-,0,0,-,3,4,-,3,4
62,Maulvibazar,-,0,0,-,0,0,129,143,53,129,143,53
63,Sunamganj,-,0,0,-,0,0,-,1,2,-,1,2
64,Sylhet,-,0,0,-,0,0,-,1,9,-,1,9
8,Sylhet,-,0,0,-,0,0,129,148,68,129,148,68
,BANGLADESH,47,81,22,121,56,51,10323,10910,10761,10444,10966,10812
