Zila/Division,,2015-16,,,,,2016-17,,,,
,,Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Production
(M. Ton)",Acres,Hectares,"Acre
(Maund)","Hectare
(M. Ton)","Production
(M. Ton)"
1,Bandarban,11132,4505,36.85,3.399,15311,11040,4468,32.85,3.030,13536
2,Chattagram,160608,64995,37.11,3.423,222501,152058,61535,33.07,3.050,187680
3,Cox's Bazar,119797,48479,37.72,3.479,168672,125933,50962,42.16,3.889,198203
4,Cumilla,392640,158893,39.69,3.661,581778,386090,156242,39.85,3.676,574371
5,Chandpur,154052,62341,37.01,3.413,212793,272975,110467,42.80,3.948,436136
6,Brahmanbaria,260121,105265,42.29,3.901,410659,251223,101664,42.47,3.917,398252
7,Khagrachari,24437,9889,34.96,3.224,31887,24429,9886,36.29,3.348,33094
8,Noakhali,142974,57858,49.25,4.542,262818,147795,59809,48.89,4.509,269706
9,Lakshmipur,58515,23680,41.74,3.850,91176,58516,23680,41.45,3.824,90545
10,Feni,78573,31797,38.62,3.563,113281,73438,29719,40.20,3.708,110208
11,Rangamati,19071,7718,42.13,3.886,29993,18608,7530,45.01,4.151,31261
1,"Chattagram
Division",1421920,575420,40.34,3.721,2140870,1522105,615963,41.24,3.804,2342992
12,Sylhet,172802,69929,31.24,2.881,201490,143099,57909,31.37,2.894,167560
13,Maulavibazar,121840,49306,37.85,3.491,172134,97087,39289,36.54,3.370,132412
14,Sunamgonj,467945,189367,39.23,3.619,685226,134397,54388,39.17,3.613,196500
15,Hobigonj,277685,112373,38.70,3.570,401138,236780,95820,38.22,3.526,337832
2,"Sylhet
Division",1040272,420975,37.60,3.468,1459988,611363,247405,36.56,3.372,834305
16,Dhaka,117848,47691,48.18,4.444,211933,119274,48268,49.19,4.537,218997
17,Gazipur,146056,59106,42.96,3.962,234186,139403,56413,42.97,3.964,223605
18,Manikgonj,135439,54809,47.47,4.378,239964,124954,50566,49.44,4.561,230617
19,Munsigonj,60958,24668,45.29,4.177,103049,59424,24048,45.47,4.194,100860
20,Narayangonj,63835,25833,40.11,3.700,95582,62370,25240,42.87,3.955,99814
21,Narsingdi,131181,53086,40.42,3.729,197940,126303,51112,40.46,3.732,190769
22,Faridpur,70717,28618,44.08,4.066,116346,59649,24139,45.14,4.164,100513
23,Rajbari,41527,16805,45.79,4.224,70983,36112,14614,46.64,4.302,62870
24,Madaripur,95444,38624,46.65,4.303,166198,80358,32519,48.55,4.478,145625
25,Gopalgonj,195773,79225,50.03,4.615,365590,185730,75161,51.12,4.715,354418
26,Shariatpur,66239,26805,45.16,4.166,111664,67725,27407,44.33,4.089,112066
27,Kishoregonj,416714,168635,44.94,4.145,699047,287295,116262,46.94,4.330,503363
28,Tangail,415172,168011,46.82,4.319,725634,414882,167894,45.26,4.175,700906
3,"Dhaka
Division",1956903,791916,45.70,4.215,3338117,1763479,713641,46.25,4.266,3044422
29,Jamalpur,317395,128443,44.27,4.083,524431,317985,128682,42.69,3.937,506653
30,Sherpur,221812,89762,43.28,3.992,358303,214101,86642,44.08,4.066,352272
331,Netrokona,444073,179707,43.62,4.023,722996,347960,140812,43.38,4.001,563439
32,Mymensingh,652496,264051,44.10,4.068,1074189,650569,263271,44.18,4.075,1072834
4,"Mymensingh
Division",1635776,661963,43.89,4.048,2679919,1530615,619406,43.67,4.028,2495197
