Sl no,Name of Comodity,,Year-2016,,,,,,,,,,,,
,,,January,February,March,April,May,June,July,August,September,October,November,December,Average
15,",,",Pajam,"4,274","4,299","4,234","4,231","4,275","4,367","4,331","4,456","4,538","4,661","4,529","4,328","4,377"
16,Rice Aus :,Medium,-,-,-,-,-,-,-,-,-,-,-,-,#DIV/0!
17,",,",Coarse,"2,150","2,175","2,250","2,183","2,175",-,-,-,"3,238","3,375","3,400",-,"2,618"
18,Rice Boro :,Fine,"4,127","4,162","4,127","4,091","3,984","3,983","4,036","4,166","4,280","4,405","4,400","4,398","4,180"
19,",,",Medium,"3,268","3,330","3,267","3,195","3,054","3,092","3,172","3,301","3,495","3,713","3,740","3,783","3,368"
20,",,",Coarse,"2,502","2,497","2,401","2,276","2,220","2,281","2,415","2,709","3,017","3,266","3,299","3,275","2,680"
21,",,",Pajam,"4,317","4,453","4,700","4,900","4,523","4,175","4,276","4,352","4,307","4,452","4,466","4,523","4,454"
22,"Rice O. M.
S",,"2,134","2,108","1,905","1,669","1,564","1,613","1,749","1,669","2,133","2,950","3,063","3,125","2,140"
23,"Rice
Aromatic",Chinigura,"7,448","7,609","7,675","7,829","8,524","8,780","9,025","9,168","9,254","9,258","9,201","8,958","8,561"
24,,Kalojira,"7,059","7,202","7,258","7,480","7,989","8,229","8,373","8,511","8,598","8,540","8,477","8,284","8,000"
25,,Kataribhog,"5,574","5,638","5,760","5,845","5,918","5,990","6,082","6,306","6,305","6,338","6,279","6,221","6,021"
26,Wheat :,Red,"2,112","2,122","1,882","1,797","1,863","1,863","1,890","1,885","2,013","1,988","2,004","2,053","1,956"
27,Wheat :,White,"2,160","2,129","1,965","1,861","1,883","1,925","1,959","2,003","2,035","2,053","2,063","2,073","2,009"
28,Import,Red,-,-,-,-,-,-,-,-,-,-,-,-,#DIV/0!
29,",,",White,"2,283","2,219","2,180","2,225","2,186","2,171","2,209","2,224","2,151","2,122","2,138","2,090","2,183"
