Name of Distict/Division,January,,,,February,,,
,Without food,,With food,,Without food,,With food,
,Male,Female,Male,Female,Male,Female,Male,Female
Bandarban,339,236,325,225,349,249,325,250
Khagrachhari,294,205,270,180,301,219,238,205
Rangamati,358,250,350,220,365,246,250,175
Chattagram,419,310,400,300,408,317,385,317
Coxs Bazar,388,280,373,267,408,350,379,267
Cumilla,343,240,320,231,325,170,307,246
Chandpur,325,-,315,-,310,-,320,-
Brahmmanbaria,331,-,318,-,337,-,310,-
Noakhali,334,-,-,-,331,-,-,-
Lakshmipur,320,-,300,200,310,290,245,-
Feni,280,-,-,-,310,-,321,-
Chattagram Division,339,254,330,232,341,263,308,243
"Sylhet
DivisionmDivision",296,245,266,230,295,250,235,163
Maulavi Bazar,306,269,267,245,298,261,267,200
Sunamganj,289,222,263,205,275,195,230,163
Habiganj,285,202,275,195,250,175,298,232
Sylhet Division,294,235,268,219,279.5,220,258,190
Dhaka,346,300,338,295,346,300,332,325
Gagipur,363,229,359,221,364,231,361,325
Manikganj,326,234,302,210,355,250,288,193
Munshiganj,319,200,307,-,313,-,299,-
Narayanganj,378,275,360,260,388,275,350,200
Narsindhi,334,-,323,263,334,-,307,-
Faridpur,306,-,290,250,300,-,234,260
Rajbari,320,-,305,-,300,-,300,-
Madaripur,275,-,-,-,275,-,-,-
Gopalganj,340,300,320,280,293,268,270,248
Sariatpur,275,-,265,-,262,-,200,-
Mymensingh,339,268,328,250,338,300,336,320
Jamalpur,345,-,329,208,320,-,264,209
Sherpur,329,250,312,-,305,250,305,-
Tangail,302,223,293,200,303,205,269,165
Kishoerganj,335,-,317,-,290,200,311,-
Natrokona,292,250,289,-,289,280,259,280
Dhaka Division,325,253,315,244,316,256,293,253
Barishal,330,-,321,-,320,-,311,-
Jhalokathi,374,-,349,-,383,-,320,-
Perojpur,306,-,291,-,316,-,309,-
Bhola,339,-,314,-,346,-,301,-
Patuakhali,301,-,293,-,309,-,302,-
Barguna,340,-,324,-,343,-,322,-
Barishal Division,332,-,315,-,336,-,311,-
