"Sl.
No.","S
p
e
c
ie
s",Lower Meghna,,,,,,,Upper Meghna,,,,,,,,Total
,,"ila
h
k
a
o
N","a
lo
h
B","la
s
ir
a
B","r
u
p
im
h
s
k
a
L","r
u
p
t
a
ir
a
S","r
u
p
d
n
a
h
C","Sub-
Total","j
n
a
g
ih
s
n
u
M","j
n
a
g
n
a
y
a
r
a
N","a
llim
o
C","id
g
n
ih
s
r
a
N","r
a
b
n
a ma
i
h
a
r
B","j
n
a
g
e
r
o
h
s
iK","j
n
a
g
ib
a
H","Sub-
Total",
1,Rui,3,8,4,2,6,4,27,10,0,23,8,50,39,0,130,157
2,Catla,2,4,2,1,5,3,17,7,0,12,4,31,16,0,70,87
3,Mrigal,1,4,1,4,1,2,13,4,0,12,1,24,20,0,61,74
4,Kalibaus,0,0,0,0,0,0,0,1,0,5,0,5,4,0,15,15
5,Bata,52,21,29,361,0,18,481,7,0,8,0,15,17,0,47,528
6,Ghonia,0,0,0,0,0,0,0,0,0,2,0,6,0,0,8,8
7,Pangas,0,28,73,0,7,11,119,3,0,4,3,9,9,0,28,147
8,Boal/Air,0,28,48,0,5,11,92,4,0,23,3,37,10,0,77,169
9,Shol/Gazar/Taki,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Koi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Shingi/Magur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Sarpunti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Other Inland Fish,159,765,790,344,49,348,2455,403,819,112,1063,384,129,101,3011,5466
14,Hilsa/Illish,12031,76791,34668,18193,607,29423,171713,433,67,8,358,288,382,4,1540,173253
15,Galda,7,36,57,29,0,0,129,6,0,19,3,15,25,0,68,197
16,Bagda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Harina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Chaka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,"Other small
shrimp/prawn",15,99,126,12,10,11,273,29,11,62,8,22,36,24,192,465
Total,,12270,77784,35798,18946,690,29830,175318,906,897,289,1452,885,687,129,5245,180563
