Name of Distict/Division,September,,,,October,,,
,Without food,,With food,,Without food,,With food,
,Male,Female,Male,Female,Male,Female,Male,Female
Jashore,242,200,222,185,230,180,215,150
Jhenaidah,248,204,238,188,251,191,245,175
Magura,300,-,280,-,300,-,280,-
Narial,280,195,255,-,275,190,240,-
Khulna,286,168,275,150,288,188,270,180
Bagerhat,321,150,298,-,326,180,300,-
Satkhira,250,170,-,-,250,170,-,-
Kushita,285,-,260,-,278,-,260,-
Chuadang,209,-,195,-,224,-,210,-
Meherpur,206,190,186,165,226,200,180,180
Khulna Division,263,182,245,172,265,186,244,171
Rajshahi,271,226,249,198,285,197,251,192
Noagoan,234,198,227,189,235,191,225,180
Natore,249,224,239,194,248,213,240,202
Nawbganj,227,180,215,160,227,180,220,170
Bogura,262,-,250,229,265,-,250,220
Joypurhat,291,200,283,180,291,220,255,199
Pabna,330,253,300,240,292,280,268,248
Sirajganj,325,235,290,210,252,193,248,180
Rajshahi Division,274,217,257,200,262,211,245,199
Rangpur,268,195,245,180,280,180,255,170
Gaibanda,250,145,-,-,240,156,-,-
Kurigarm,220,180,210,170,217,180,211,170
Nilphamari,235,190,210,180,228,180,220,165
Lalmonirhat,215,190,220,178,226,185,210,170
Dinajpur,272,205,249,182,253,203,217,175
Thakurgaon,260,225,230,200,250,227,228,198
Panchagar,265,215,245,190,268,216,247,192
Rangpur Division,248,193,230,183,245,191,227,177
Bangladesh,304,225,284,206,300,224,279,207
